mnemonic,All usual residents aged 16+,Married,In a registered same-sex civil partnership
E06000055,100.0,49.2,0.2
E06000056,100.0,52.5,0.1
E06000032,100.0,46.6,0.2
E06000031,100.0,46.3,0.2
E06000033,100.0,43.8,0.2
E06000034,100.0,47.6,0.1
E07000008,100.0,34.1,0.3
E07000009,100.0,54.9,0.3
E07000010,100.0,50.0,0.2
E07000011,100.0,53.2,0.2
E07000012,100.0,56.0,0.2
E07000066,100.0,47.9,0.1
E07000067,100.0,51.6,0.2
E07000068,100.0,52.1,0.1
E07000069,100.0,53.1,0.1
E07000070,100.0,51.4,0.2
E07000071,100.0,46.9,0.2
E07000072,100.0,49.9,0.2
E07000073,100.0,44.8,0.1
E07000074,100.0,55.3,0.2
E07000075,100.0,55.5,0.2
E07000076,100.0,50.2,0.2
E07000077,100.0,55.9,0.2
E07000095,100.0,48.9,0.1
E07000096,100.0,49.9,0.1
E07000242,100.0,52.3,0.2
E07000098,100.0,50.2,0.2
E07000099,100.0,51.2,0.2
E07000240,100.0,54.1,0.2
E07000243,100.0,46.3,0.2
E07000102,100.0,52.5,0.1
E07000103,100.0,46.0,0.2
E07000241,100.0,44.5,0.2
E07000143,100.0,52.7,0.2
E07000144,100.0,55.7,0.2
E07000145,100.0,46.7,0.2
E07000146,100.0,52.9,0.2
E07000147,100.0,53.4,0.3
E07000148,100.0,33.4,0.3
E07000149,100.0,55.5,0.3
E07000200,100.0,54.7,0.2
E07000201,100.0,50.6,0.2
E07000202,100.0,43.5,0.2
E07000203,100.0,56.5,0.2
E07000204,100.0,51.3,0.2
E07000205,100.0,55.2,0.2
E07000206,100.0,50.0,0.2
E09000007,100.0,29.5,0.9
E09000001,100.0,33.1,1.7
E09000012,100.0,26.8,0.6
E09000013,100.0,29.6,0.5
E09000014,100.0,33.3,0.6
E09000019,100.0,24.8,0.8
E09000020,100.0,35.6,0.7
E09000022,100.0,26.2,0.8
E09000023,100.0,32.7,0.5
E09000025,100.0,40.5,0.3
E09000028,100.0,28.5,0.9
E09000030,100.0,31.6,0.6
E09000032,100.0,32.6,0.6
E09000033,100.0,32.6,0.8
E09000002,100.0,41.9,0.2
E09000003,100.0,46.8,0.2
E09000004,100.0,47.8,0.1
E09000005,100.0,43.2,0.3
E09000006,100.0,48.3,0.2
E09000008,100.0,42.9,0.3
E09000009,100.0,44.1,0.4
E09000010,100.0,44.0,0.2
E09000011,100.0,38.9,0.3
E09000015,100.0,53.7,0.2
E09000016,100.0,48.5,0.1
E09000017,100.0,47.2,0.2
E09000018,100.0,45.6,0.3
