mnemonic,All usual residents,%,Area (Hectares),%,Density (number of persons per hectare),%
E06000014,198051,100.0,27193.63,-,7.3,-
E07000163,55409,100.0,117738.81,-,0.5,-
E07000164,89140,100.0,131116.95,-,0.7,-
E07000165,157869,100.0,130793.68,-,1.2,-
E07000166,51965,100.0,131867.12,-,0.4,-
E07000167,51751,100.0,150659.41,-,0.3,-
E07000168,108793,100.0,81654.13,-,1.3,-
E07000169,83449,100.0,59931.19,-,1.4,-
E08000016,231221,100.0,32905.31,-,7.0,-
E08000017,302402,100.0,56799.22,-,5.3,-
E08000018,257280,100.0,28653.77,-,9.0,-
E08000019,552698,100.0,36794.79,-,15.0,-
E08000032,522452,100.0,36641.72,-,14.3,-
E08000033,203826,100.0,36392.21,-,5.6,-
E08000034,422458,100.0,40859.65,-,10.3,-
E08000035,751485,100.0,55172.44,-,13.6,-
E08000036,325837,100.0,33861.24,-,9.6,-
E06000015,248752,100.0,7803.11,-,31.9,-
E06000016,329839,100.0,7331.48,-,45.0,-
E06000018,305680,100.0,7461.16,-,41.0,-
E06000017,37369,100.0,38151.51,-,1.0,-
E07000032,122309,100.0,26538.48,-,4.6,-
E07000033,75866,100.0,16033.04,-,4.7,-
E07000034,103788,100.0,6603.52,-,15.7,-
E07000035,71116,100.0,79245.21,-,0.9,-
E07000036,112081,100.0,10962.93,-,10.2,-
E07000037,90892,100.0,53914.69,-,1.7,-
E07000038,99023,100.0,27560.03,-,3.6,-
E07000039,94611,100.0,33812.06,-,2.8,-
E07000129,93915,100.0,13046.66,-,7.2,-
E07000130,166100,100.0,27905.68,-,6.0,-
E07000131,85382,100.0,59177.75,-,1.4,-
E07000132,105078,100.0,29734.91,-,3.5,-
E07000133,50376,100.0,48137.68,-,1.0,-
E07000134,93468,100.0,27932.85,-,3.3,-
E07000135,56170,100.0,2352.33,-,23.9,-
E07000136,64637,100.0,36153.77,-,1.8,-
E07000137,136401,100.0,176025.58,-,0.8,-
E07000138,93541,100.0,3568.80,-,26.2,-
E07000139,107766,100.0,92244.28,-,1.2,-
E07000140,88270,100.0,74238.31,-,1.2,-
E07000141,133788,100.0,94259.45,-,1.4,-
E07000142,89250,100.0,115571.73,-,0.8,-
E07000150,61255,100.0,8028.28,-,7.6,-
E07000151,77843,100.0,66259.01,-,1.2,-
E07000152,86765,100.0,50978.80,-,1.7,-
E07000153,93475,100.0,23349.24,-,4.0,-
E07000154,212069,100.0,8076.17,-,26.3,-
E07000155,85189,100.0,63401.85,-,1.3,-
E07000156,75356,100.0,16303.94,-,4.6,-
E07000170,119497,100.0,10955.69,-,10.9,-
E07000171,112863,100.0,63787.08,-,1.8,-
E07000172,109487,100.0,8009.84,-,13.7,-
E07000173,113543,100.0,11997.63,-,9.5,-
E07000174,104466,100.0,7671.65,-,13.6,-
E07000175,114817,100.0,65131.85,-,1.8,-
E07000176,111129,100.0,40923.64,-,2.7,-
E06000019,183477,100.0,217973.24,-,0.8,-
E06000051,306129,100.0,319730.32,-,1.0,-
E06000021,249008,100.0,9345.02,-,26.6,-
E06000020,166641,100.0,29031.32,-,5.7,-
E07000192,97462,100.0,7888.09,-,12.4,-
E07000193,113583,100.0,38696.29,-,2.9,-
E07000194,100654,100.0,33129.71,-,3.0,-
E07000195,123871,100.0,21095.75,-,5.9,-
E07000196,108131,100.0,40731.52,-,2.7,-
E07000197,130869,100.0,59817.26,-,2.2,-
E07000198,97106,100.0,57584.71,-,1.7,-
E07000199,76813,100.0,3084.62,-,24.9,-
E07000218,62014,100.0,28426.69,-,2.2,-
E07000219,125252,100.0,7895.14,-,15.9,-
E07000220,100075,100.0,35111.41,-,2.9,-
E07000221,120485,100.0,97786.63,-,1.2,-
E07000222,137648,100.0,28288.30,-,4.9,-
E08000025,1073045,100.0,26778.82,-,40.1,-
E08000026,316960,100.0,9864.42,-,32.1,-
E08000027,312925,100.0,9795.66,-,31.9,-
E08000028,308063,100.0,8556.73,-,36.0,-
E08000029,206674,100.0,17828.78,-,11.6,-
E08000030,269323,100.0,10395.49,-,25.9,-
E08000031,249470,100.0,6943.95,-,35.9,-
E07000234,93637,100.0,21696.91,-,4.3,-
E07000235,74631,100.0,57707.13,-,1.3,-
E07000236,84214,100.0,5424.98,-,15.5,-
E07000237,98768,100.0,3327.91,-,29.7,-
E07000238,116944,100.0,66354.12,-,1.8,-
E07000239,97975,100.0,19540.66,-,5.0,-
E06000055,157479,100.0,47641.20,-,3.3,-
E06000056,254381,100.0,71566.45,-,3.6,-
E06000032,203201,100.0,4335.33,-,46.9,-
E06000031,183631,100.0,34337.82,-,5.3,-
E06000033,173658,100.0,4175.60,-,41.6,-
E06000034,157705,100.0,16337.60,-,9.7,-
E07000008,123867,100.0,4069.94,-,30.4,-
E07000009,83818,100.0,65128.21,-,1.3,-
E07000010,95262,100.0,54644.96,-,1.7,-
E07000011,169508,100.0,90618.31,-,1.9,-
E07000012,148755,100.0,90162.77,-,1.6,-
E07000066,174497,100.0,11002.46,-,15.9,-
E07000067,147084,100.0,61170.84,-,2.4,-
E07000068,73601,100.0,15311.75,-,4.8,-
E07000069,88011,100.0,4506.86,-,19.5,-
E07000070,168310,100.0,33877.56,-,5.0,-
E07000071,173074,100.0,32908.17,-,5.3,-
E07000072,124659,100.0,33898.56,-,3.7,-
E07000073,81944,100.0,3053.75,-,26.8,-
E07000074,61629,100.0,35876.76,-,1.7,-
E07000075,83287,100.0,16949.84,-,4.9,-
E07000076,138048,100.0,33764.12,-,4.1,-
E07000077,79443,100.0,64118.28,-,1.2,-
E07000095,93609,100.0,5143.56,-,18.2,-
E07000096,144847,100.0,21247.56,-,6.8,-
E07000242,137687,100.0,47568.68,-,2.9,-
E07000098,100031,100.0,10116.00,-,9.9,-
E07000099,127114,100.0,37537.51,-,3.4,-
E07000240,140664,100.0,16117.63,-,8.7,-
E07000243,83957,100.0,2596.40,-,32.3,-
E07000102,87317,100.0,8881.34,-,9.8,-
E07000103,90301,100.0,2142.48,-,42.1,-
E07000241,110535,100.0,12955.42,-,8.5,-
E07000143,130491,100.0,130511.64,-,1.0,-
E07000144,124646,100.0,55239.88,-,2.3,-
E07000145,97277,100.0,17418.83,-,5.6,-
E07000146,147451,100.0,142879.40,-,1.0,-
E07000147,101499,100.0,96333.07,-,1.1,-
E07000148,132512,100.0,3902.60,-,34.0,-
E07000149,124012,100.0,90770.68,-,1.4,-
E07000200,87740,100.0,59377.66,-,1.5,-
E07000201,59748,100.0,37771.06,-,1.6,-
E07000202,133384,100.0,3941.46,-,33.8,-
E07000203,96731,100.0,87107.11,-,1.1,-
E07000204,111008,100.0,65696.41,-,1.7,-
E07000205,124298,100.0,89156.43,-,1.4,-
E07000206,115254,100.0,36968.26,-,3.1,-
E09000007,220338,100.0,2179.60,-,101.1,-
E09000001,7375,100.0,289.78,-,25.5,-
E09000012,246270,100.0,1906.35,-,129.2,-
E09000013,182493,100.0,1640.40,-,111.2,-
E09000014,254926,100.0,2958.85,-,86.2,-
E09000019,206125,100.0,1485.95,-,138.7,-
E09000020,158649,100.0,1212.95,-,130.8,-
E09000022,303086,100.0,2682.14,-,113.0,-
E09000023,275885,100.0,3514.54,-,78.5,-
E09000025,307984,100.0,3622.36,-,85.0,-
E09000028,288283,100.0,2885.41,-,99.9,-
E09000030,254096,100.0,1976.90,-,128.5,-
E09000032,306995,100.0,3426.29,-,89.6,-
E09000033,219396,100.0,2147.78,-,102.2,-
E09000002,185911,100.0,3609.04,-,51.5,-
E09000003,356386,100.0,8673.72,-,41.1,-
E09000004,231997,100.0,6055.95,-,38.3,-
E09000005,311215,100.0,4323.52,-,72.0,-
E09000006,309392,100.0,15015.45,-,20.6,-
E09000008,363378,100.0,8651.89,-,42.0,-
E09000009,338449,100.0,5552.50,-,61.0,-
E09000010,312466,100.0,8082.94,-,38.7,-
E09000011,254557,100.0,4734.38,-,53.8,-
E09000015,239056,100.0,5046.91,-,47.4,-
E09000016,237232,100.0,11236.35,-,21.1,-
