mnemonic,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive
E09000029,18.6,14.2,16.1,2.9,11.8,30.1,6.3,3.1,3.7,1.6,0.3,1.8
E09000031,20.8,12.3,12.7,1.7,10.0,30.0,12.5,2.8,8.3,2.8,0.9,4.6
E06000036,16.3,15.3,16.9,3.4,12.7,30.3,5.1,3.2,2.7,1.4,0.2,1.1
E06000043,16.1,11.0,12.6,2.1,16.0,36.9,5.4,2.2,11.9,3.6,1.2,7.1
E06000046,24.3,14.6,16.8,5.0,12.2,22.6,4.5,2.7,2.2,0.9,0.2,1.2
E06000035,22.9,16.9,18.4,4.7,12.7,19.1,5.3,3.0,4.7,1.7,0.5,2.4
E06000042,18.0,15.9,16.7,3.4,11.5,28.2,6.3,2.9,3.5,1.6,0.4,1.6
E06000044,21.2,13.1,15.0,3.9,18.0,23.7,5.1,2.5,12.7,3.5,1.3,8.0
E06000038,17.4,12.2,12.3,2.5,13.4,34.8,7.4,2.3,9.6,3.3,0.7,5.6
E06000039,20.1,14.7,13.4,2.2,10.1,25.8,13.7,3.2,5.8,2.3,0.6,2.9
E06000045,21.0,12.9,13.9,3.7,17.3,24.6,6.6,2.1,14.4,4.0,1.2,9.1
E06000037,17.2,14.2,16.2,3.9,12.2,32.1,4.3,3.1,2.1,1.1,0.1,0.9
E06000040,15.6,11.6,14.4,3.0,11.2,38.4,5.8,3.1,2.8,1.1,0.1,1.5
E06000041,13.2,11.8,15.1,3.4,12.4,40.0,4.2,3.0,3.2,1.3,0.2,1.6
E07000004,17.4,13.8,16.5,3.6,12.2,32.0,4.6,3.0,3.0,1.2,0.2,1.6
E07000005,14.7,10.7,15.1,3.3,11.1,41.0,4.2,3.1,2.5,1.1,0.1,1.3
E07000006,16.5,11.8,14.8,3.4,11.1,36.9,5.5,2.9,3.0,1.2,0.2,1.7
E07000007,17.4,12.5,15.2,3.6,12.4,33.6,5.4,3.0,4.7,1.9,0.4,2.3
E07000061,23.2,13.8,16.6,3.5,12.6,24.4,5.8,2.7,4.8,1.9,0.4,2.4
E07000062,25.4,15.8,17.5,3.0,12.1,21.2,5.0,2.8,3.2,1.4,0.3,1.5
E07000063,21.5,13.8,15.7,3.4,11.8,29.4,4.4,2.6,2.7,1.2,0.2,1.3
E07000064,24.7,13.8,16.5,3.8,11.2,25.5,4.6,2.6,2.2,0.8,0.1,1.2
E07000065,19.9,13.8,17.3,3.7,12.2,28.9,4.1,2.8,2.3,1.1,0.1,1.1
E07000084,17.3,14.7,16.4,3.8,12.6,30.5,4.7,2.7,2.3,1.2,0.2,0.9
E07000085,16.9,12.5,16.6,3.6,12.7,33.9,3.9,3.1,2.6,1.1,0.1,1.3
E07000086,17.6,14.2,17.2,5.7,13.3,27.9,4.0,2.7,2.7,1.3,0.2,1.2
E07000087,17.6,13.1,17.0,5.5,13.5,29.8,3.6,2.9,2.8,1.5,0.2,1.2
E07000088,21.6,16.2,18.1,5.0,13.4,21.5,4.2,2.8,2.7,1.3,0.3,1.2
E07000089,13.5,12.4,16.2,3.5,13.0,37.5,3.9,2.9,2.3,1.1,0.1,1.0
E07000090,25.0,14.8,17.1,4.8,12.0,22.3,4.0,2.8,2.6,1.2,0.2,1.1
E07000091,21.1,13.3,16.7,5.4,12.0,27.2,4.2,2.4,2.0,1.1,0.1,0.9
E07000092,18.6,16.5,17.2,3.6,12.5,24.7,6.9,3.0,3.4,1.6,0.3,1.4
E07000093,18.4,13.6,16.5,4.5,12.5,30.5,4.1,2.9,2.3,1.1,0.1,1.1
E07000094,14.5,9.6,14.6,3.1,13.9,40.7,3.5,3.2,6.8,2.6,0.6,3.6
E07000105,21.2,15.6,17.8,3.9,12.0,24.6,4.9,2.9,2.7,1.4,0.3,1.1
E07000106,20.5,11.8,14.3,3.3,17.6,27.3,5.2,2.6,14.6,4.0,1.6,9.0
E07000107,21.1,17.3,18.1,4.3,11.5,22.0,5.5,2.7,2.9,1.4,0.3,1.2
E07000108,25.0,14.6,17.4,3.7,12.1,22.0,5.1,2.9,2.7,1.1,0.2,1.3
E07000109,24.4,16.4,17.0,4.3,11.1,20.0,7.0,3.1,3.0,1.3,0.3,1.4
E07000110,20.7,14.6,17.6,4.1,12.2,25.6,5.3,2.8,2.7,1.2,0.2,1.2
E07000111,19.2,13.7,16.4,3.4,11.1,32.0,4.1,3.1,2.4,1.0,0.2,1.2
E07000112,24.7,14.9,17.5,3.8,11.9,21.8,5.4,2.8,2.9,1.4,0.3,1.2
E07000113,27.4,16.3,17.0,4.4,11.2,18.9,4.8,2.8,2.4,1.0,0.2,1.2
E07000114,28.4,14.8,16.4,3.9,11.3,19.6,5.6,2.7,3.4,1.4,0.3,1.6
E07000115,20.0,15.0,17.7,4.0,12.2,27.1,4.0,3.4,2.5,1.2,0.2,1.1
E07000116,17.1,12.4,16.6,2.8,12.1,34.6,4.5,3.3,2.9,1.2,0.1,1.6
E07000177,19.7,15.2,15.8,4.1,11.6,28.1,5.5,2.7,2.7,1.2,0.1,1.3
E07000178,13.6,8.3,8.9,1.8,17.8,42.6,6.9,2.3,23.6,4.6,0.9,18.1
E07000179,16.5,12.1,14.9,3.8,12.0,36.7,4.0,2.7,2.3,1.0,0.1,1.2
E07000180,16.7,11.8,14.6,4.1,11.5,37.2,4.1,2.9,2.8,1.2,0.2,1.4
E07000181,17.6,13.3,15.8,3.9,12.3,32.9,4.1,2.6,2.1,1.0,0.1,1.0
E07000207,13.2,10.1,13.9,2.2,11.1,43.9,5.6,3.0,2.9,1.2,0.2,1.6
E07000208,15.8,12.2,15.7,2.9,12.1,36.0,5.3,3.1,4.6,1.9,0.3,2.3
E07000209,14.2,10.7,13.5,2.8,14.2,39.5,5.1,2.4,9.5,3.0,0.6,5.9
E07000210,16.0,11.7,16.1,2.8,11.3,37.9,4.2,3.0,2.3,1.0,0.1,1.2
E07000211,16.6,13.2,16.6,2.9,12.0,34.0,4.8,2.8,2.6,1.2,0.2,1.2
E07000212,18.3,12.7,14.4,3.4,15.1,29.9,6.1,2.3,10.2,2.9,0.6,6.6
E07000213,20.4,16.1,16.1,3.9,11.4,25.9,6.2,2.5,2.5,1.2,0.2,1.1
E07000214,15.0,13.5,16.3,3.5,12.2,34.5,5.1,3.0,2.6,1.3,0.2,1.1
E07000215,17.1,13.4,17.5,2.9,12.3,33.0,3.9,3.1,2.6,1.0,0.1,1.5
E07000216,15.2,10.3,15.1,2.9,12.2,40.1,4.1,3.4,3.5,1.4,0.2,1.9
E07000217,15.2,12.0,14.3,2.6,11.3,38.4,6.3,2.6,3.3,1.5,0.3,1.4
E07000223,25.6,15.9,16.5,4.4,11.2,22.0,4.5,2.6,2.3,1.1,0.1,1.0
E07000224,24.9,14.2,16.8,4.0,11.6,22.8,5.9,2.2,2.6,1.2,0.2,1.2
E07000225,19.5,11.6,15.9,3.4,12.8,32.4,4.4,2.2,4.4,1.8,0.4,2.2
E07000226,20.1,18.0,17.1,3.4,11.3,21.5,8.5,2.7,3.0,1.5,0.3,1.2
E07000227,16.3,13.3,17.8,3.4,12.7,32.6,4.0,3.0,2.3,1.1,0.1,1.0
E07000228,14.8,13.4,17.3,3.4,13.2,33.6,4.2,3.0,2.4,1.1,0.1,1.1
E07000229,21.3,14.3,17.4,3.7,12.5,26.0,4.8,2.3,2.9,1.5,0.3,1.1
E06000022,17.2,11.0,14.2,3.7,16.5,33.4,4.0,2.6,10.9,3.0,0.7,7.2
E06000028,19.1,13.0,15.5,3.8,15.7,26.4,6.5,2.0,9.7,3.2,0.8,5.7
E06000023,20.2,11.9,12.8,2.9,14.6,32.8,4.9,2.2,10.2,3.0,0.7,6.4
E06000052,22.4,13.4,17.4,4.5,13.1,25.0,4.2,2.5,3.6,1.3,0.3,1.9
E06000053,14.2,10.8,16.6,4.2,16.4,33.0,4.7,0.3,0.8,0.2,0.1,0.4
E06000024,19.6,13.7,17.2,4.4,12.7,28.4,4.1,2.6,2.6,1.2,0.2,1.1
E06000026,22.3,13.5,16.8,5.2,16.6,21.5,4.3,2.5,9.2,2.7,0.7,5.7
E06000029,21.4,14.4,16.6,4.9,12.5,25.5,4.7,2.5,3.2,1.4,0.2,1.6
E06000025,18.6,14.9,16.7,5.4,13.7,26.7,4.1,2.9,3.9,1.7,0.3,1.8
E06000030,20.5,17.4,17.3,4.5,11.6,22.7,5.8,2.7,2.7,1.3,0.2,1.1
E06000027,25.8,15.0,17.3,4.7,11.8,20.6,4.8,2.5,2.4,1.1,0.3,1.0
E06000054,18.6,14.0,17.2,3.8,12.7,29.5,4.1,2.9,2.2,1.1,0.2,0.9
E07000040,21.1,13.1,17.0,4.1,11.3,29.1,4.3,2.5,1.8,0.9,0.1,0.8
E07000041,18.3,12.6,14.1,3.2,18.2,28.6,5.0,2.0,14.4,3.4,0.8,10.2
E07000042,22.7,13.8,17.1,3.8,12.1,26.4,4.1,2.7,1.9,0.9,0.1,0.9
E07000043,24.1,14.4,17.2,4.7,12.4,22.9,4.3,2.5,2.2,1.1,0.2,0.9
E07000044,17.2,12.1,16.3,4.4,12.1,34.3,3.7,2.5,2.3,1.1,0.2,1.1
E07000045,21.5,13.5,16.6,4.5,11.8,28.0,4.2,2.5,2.1,1.0,0.2,1.0
E07000046,25.4,14.3,17.5,4.9,12.1,21.7,4.2,2.5,1.7,0.7,0.1,0.8
E07000047,20.3,12.9,16.8,3.9,11.9,30.0,4.1,2.6,2.1,1.0,0.1,1.0
E07000048,23.4,13.7,16.7,5.2,11.3,25.1,4.6,2.3,2.2,0.9,0.1,1.1
E07000049,21.5,13.5,16.4,5.3,11.6,27.7,4.1,2.4,2.0,1.1,0.1,0.8
E07000050,20.0,14.2,17.8,4.1,12.6,26.9,4.4,3.1,1.9,0.7,0.1,1.0
E07000051,21.6,14.3,16.8,5.0,12.1,25.7,4.5,2.5,1.8,0.9,0.1,0.8
E07000052,20.1,12.6,16.5,4.4,11.8,30.8,3.9,2.8,1.9,0.9,0.1,0.9
E07000053,22.5,14.9,17.4,5.2,13.1,22.5,4.4,2.5,2.3,1.1,0.2,1.0
E07000078,16.6,11.4,14.4,3.1,13.8,36.2,4.6,2.7,7.0,2.9,0.6,3.5
E07000079,18.5,12.8,15.8,3.2,11.9,33.7,4.1,2.6,3.2,1.1,0.1,2.0
E07000080,24.5,14.3,16.8,4.5,12.0,24.0,3.9,3.2,2.9,1.1,0.2,1.5
E07000081,21.8,16.1,17.3,4.3,13.2,22.2,5.2,2.8,3.9,1.7,0.3,1.9
E07000082,18.2,12.9,15.6,4.7,12.2,32.9,3.6,2.9,2.4,1.1,0.1,1.1
E07000083,18.8,13.7,16.7,4.4,12.2,30.2,4.1,2.5,2.1,1.1,0.1,0.9
E07000187,21.4,13.5,17.1,4.1,12.0,27.9,4.0,3.5,2.4,1.1,0.1,1.2
E07000188,25.1,14.7,17.1,4.7,11.8,22.1,4.5,2.9,2.4,1.1,0.2,1.0
E07000189,21.9,13.7,17.0,5.2,12.4,25.1,4.7,2.5,2.0,1.0,0.1,0.9
E07000190,20.5,13.0,17.9,3.7,12.3,28.1,4.6,3.1,2.9,1.3,0.2,1.4
E07000191,24.8,13.6,16.7,4.0,10.7,24.8,5.3,2.1,1.8,0.7,0.1,1.0
W06000001,24.2,12.7,16.2,4.7,11.9,26.1,4.2,2.6,3.4,1.3,0.2,1.9
W06000002,23.2,11.8,16.1,3.7,14.5,26.4,4.3,2.4,8.9,2.3,0.7,5.8
W06000003,25.6,13.1,16.1,3.9,11.3,25.5,4.6,2.6,3.1,1.3,0.2,1.5
W06000004,25.4,14.0,16.8,3.8,11.4,24.2,4.3,2.9,3.4,1.2,0.3,1.9
W06000005,23.5,15.4,17.3,4.9,12.2,22.4,4.3,2.9,2.9,1.4,0.2,1.3
W06000006,26.7,13.9,16.1,3.9,11.5,22.8,5.0,2.5,4.3,1.8,0.4,2.1
W06000023,24.8,12.6,16.4,3.8,11.5,26.3,4.5,2.8,2.1,0.9,0.1,1.1
W06000008,19.8,10.5,15.0,3.2,19.2,27.9,4.3,2.2,15.3,3.3,1.7,10.2
W06000009,24.6,13.6,16.8,4.3,11.8,24.8,4.1,2.7,2.4,1.0,0.1,1.2
W06000010,26.8,13.1,16.4,4.3,11.2,23.9,4.4,2.7,3.3,1.3,0.2,1.8
W06000011,23.9,12.3,15.3,4.3,13.9,25.8,4.4,2.4,9.4,2.8,0.7,5.9
W06000012,30.9,14.4,16.0,5.1,11.0,18.8,3.9,2.7,2.9,1.2,0.2,1.6
W06000013,28.3,14.0,16.0,4.2,10.8,22.6,4.1,2.7,2.9,1.2,0.2,1.5
W06000014,20.5,12.9,16.9,4.2,11.9,29.8,4.0,3.1,3.2,1.2,0.2,1.7
W06000015,20.7,11.0,13.0,2.8,15.2,32.3,5.0,2.4,12.8,3.7,1.0,8.1
W06000016,31.8,14.1,15.6,3.5,11.4,19.6,4.0,2.7,5.2,1.8,0.5,2.9
W06000024,34.3,14.3,15.1,3.7,10.1,17.8,4.9,2.9,3.6,1.3,0.3,2.0
W06000018,31.4,14.9,16.2,3.9,11.2,18.7,3.7,2.9,3.0,1.1,0.2,1.7
W06000019,36.0,15.8,15.5,3.5,9.8,15.2,4.2,2.8,2.9,1.0,0.3,1.6
W06000020,28.9,15.0,16.3,4.3,11.2,20.3,4.0,2.9,2.9,1.2,0.3,1.4
W06000021,20.7,12.6,15.4,3.9,10.8,33.1,3.6,3.1,2.5,1.0,0.2,1.3
W06000022,27.0,14.1,15.3,4.0,11.3,23.4,4.8,2.8,5.1,1.9,0.6,2.6
S12000033,20.2,22.0,15.0,0.0,9.6,33.2,0.0,1.8,11.9,4.9,1.1,5.8
S12000034,23.6,25.6,13.8,0.0,10.2,27.0,0.0,2.6,2.7,1.5,0.2,1.1
S12000041,27.3,24.8,13.3,0.0,10.9,23.6,0.0,2.4,3.3,1.5,0.3,1.5
S12000035,24.7,22.8,14.8,0.0,8.8,28.9,0.0,2.5,2.1,0.8,0.2,1.1
S12000005,28.6,25.5,13.8,0.0,10.2,21.9,0.0,2.5,3.1,1.4,0.4,1.4
S12000006,32.9,24.6,13.3,0.0,7.6,21.5,0.0,2.4,2.1,0.9,0.2,1.0
S12000042,26.9,22.8,15.6,0.0,9.9,24.8,0.0,1.9,13.0,4.1,1.4,7.6
S12000008,34.1,24.4,13.6,0.0,10.0,17.9,0.0,2.5,3.7,1.5,0.4,1.8
S12000045,19.9,19.3,16.3,0.0,9.8,34.8,0.0,2.9,5.0,2.5,0.3,2.2
S12000010,25.1,25.0,14.3,0.0,8.6,27.0,0.0,2.6,3.8,1.6,0.5,1.8
S12000011,19.2,18.4,17.2,0.0,9.9,35.2,0.0,3.2,5.4,2.8,0.4,2.2
S12000036,17.1,18.5,15.3,0.0,7.6,41.4,0.0,1.9,12.3,3.7,0.9,7.7
S12000013,30.0,20.6,13.7,0.0,9.3,26.4,0.0,2.3,2.1,0.7,0.2,1.2
S12000014,27.4,27.7,14.3,0.0,10.5,20.2,0.0,2.2,3.0,1.6,0.3,1.1
S12000015,26.4,24.2,14.4,0.0,11.2,23.8,0.0,2.4,5.6,1.7,0.5,3.5
S12000046,32.0,19.7,13.4,0.0,9.0,25.9,0.0,1.9,10.8,3.5,1.0,6.2
S12000017,25.5,24.5,14.4,0.0,9.2,26.4,0.0,2.4,2.0,0.8,0.1,1.0
S12000018,32.6,23.0,13.2,0.0,11.5,19.7,0.0,2.4,4.7,1.9,0.5,2.3
S12000019,28.6,27.3,14.5,0.0,8.5,21.1,0.0,2.4,3.0,1.5,0.2,1.3
S12000020,26.7,26.3,14.4,0.0,9.9,22.7,0.0,2.5,2.3,1.0,0.2,1.1
S12000021,31.3,24.2,13.4,0.0,11.4,19.6,0.0,2.6,3.9,1.5,0.5,1.9
S12000044,33.0,25.6,13.8,0.0,10.5,17.2,0.0,2.4,3.9,1.9,0.4,1.6
S12000023,28.2,22.5,14.7,0.0,8.1,26.5,0.0,2.4,1.5,0.6,0.1,0.7
S12000024,23.4,22.5,14.0,0.0,9.7,30.4,0.0,2.5,2.9,1.4,0.3,1.3
S12000038,28.1,23.1,14.5,0.0,11.2,23.1,0.0,2.3,5.0,2.3,0.5,2.2
S12000026,27.9,22.7,13.8,0.0,8.7,27.0,0.0,2.3,2.6,1.1,0.2,1.3
S12000027,23.7,26.3,14.4,0.0,9.0,26.6,0.0,2.4,1.5,0.8,0.0,0.7
S12000028,28.5,22.1,14.0,0.0,10.3,25.1,0.0,2.4,3.6,1.6,0.4,1.5
S12000029,29.0,23.8,14.6,0.0,10.5,22.0,0.0,2.3,3.8,1.8,0.4,1.5
S12000030,21.3,20.4,16.2,0.0,8.7,33.3,0.0,2.4,9.4,3.3,1.1,5.0
S12000039,32.8,25.2,14.4,0.0,11.1,16.5,0.0,2.4,4.1,1.9,0.4,1.7
S12000040,26.2,28.3,13.9,0.0,10.1,21.5,0.0,2.6,3.2,1.5,0.3,1.4
95AA,26.3,12.3,16.5,4.5,12.0,23.7,4.7,3.3,4.1,2.0,0.3,1.8
95BB,26.7,12.8,16.4,5.6,12.3,22.3,3.9,2.9,3.7,1.6,0.3,1.9
95CC,30.4,11.1,15.3,4.3,11.7,22.2,5.0,3.7,4.6,1.6,0.3,2.7
95DD,31.5,10.8,14.8,4.6,11.6,22.0,4.7,3.1,3.7,1.5,0.3,1.9
95EE,33.4,11.8,16.2,4.7,11.7,18.4,3.7,3.4,4.5,1.2,0.2,3.1
95FF,27.8,12.1,15.6,4.5,12.3,23.8,3.9,3.4,3.8,1.6,0.2,2.0
95GG,30.4,10.8,12.6,3.3,13.1,26.0,3.8,2.9,8.8,3.8,0.7,4.3
95HH,25.4,12.9,16.2,5.5,13.1,23.3,3.6,3.3,4.4,2.0,0.4,2.0
95II,23.7,11.2,14.7,4.7,12.1,30.0,3.6,3.1,4.6,2.1,0.3,2.1
95JJ,28.6,11.2,14.9,3.6,13.0,24.5,4.1,3.1,7.7,3.2,0.7,3.8
95KK,33.7,11.7,15.2,4.1,11.7,18.9,4.8,3.7,5.4,1.8,0.3,3.3
95LL,30.6,11.7,15.7,3.8,11.5,21.1,5.6,3.4,4.7,1.9,0.4,2.4
95MM,32.6,11.7,14.7,3.5,12.3,21.8,3.3,4.0,6.8,2.4,0.7,3.7
95NN,25.9,11.1,16.1,5.2,12.8,25.1,3.8,3.6,4.7,1.9,0.3,2.5
95OO,31.1,10.7,14.4,3.6,11.4,21.2,7.7,3.7,5.0,1.8,0.3,2.9
95PP,32.3,11.8,15.0,3.5,10.7,21.3,5.4,3.6,4.1,1.4,0.2,2.5
95QQ,27.9,12.5,15.8,6.1,12.9,20.9,4.0,3.0,3.5,1.5,0.2,1.8
95RR,34.5,11.7,15.3,4.3,12.3,18.1,3.8,3.7,5.2,1.4,0.3,3.4
95SS,25.3,12.2,15.8,4.3,12.4,26.3,3.7,3.6,4.8,2.1,0.4,2.4
95TT,31.5,11.1,15.1,4.5,12.0,21.7,4.1,3.8,5.5,1.7,0.2,3.6
95UU,31.3,12.0,15.1,4.6,11.0,22.0,4.1,3.2,4.3,1.2,0.2,2.9
95VV,29.8,11.2,14.8,5.1,12.0,21.7,5.4,3.8,5.0,1.8,0.4,2.8
95WW,26.0,12.5,15.5,4.8,13.5,24.0,3.7,3.1,6.3,2.8,0.6,3.0
95XX,20.1,11.5,16.0,4.5,13.0,31.2,3.7,2.8,3.9,1.7,0.3,1.9
95YY,31.6,10.5,14.9,3.7,11.1,23.5,4.7,4.0,4.8,1.5,0.3,3.0
95ZZ,40.5,11.6,13.7,3.1,11.0,16.1,4.0,3.7,4.6,1.4,0.3,2.9
S12000005,28.6,25.5,13.8,0.0,10.2,21.9,0.0,2.5,3.1,1.4,0.4,1.4
S12000006,32.9,24.6,13.3,0.0,7.6,21.5,0.0,2.4,2.1,0.9,0.2,1.0
S12000008,34.1,24.4,13.6,0.0,10.0,17.9,0.0,2.5,3.7,1.5,0.4,1.8
S12000010,25.1,25.0,14.3,0.0,8.6,27.0,0.0,2.6,3.8,1.6,0.5,1.8
S12000011,19.2,18.4,17.2,0.0,9.9,35.2,0.0,3.2,5.4,2.8,0.4,2.2
S12000013,30.0,20.6,13.7,0.0,9.3,26.4,0.0,2.3,2.1,0.7,0.2,1.2
S12000014,27.4,27.7,14.3,0.0,10.5,20.2,0.0,2.2,3.0,1.6,0.3,1.1
S12000015,26.4,24.2,14.4,0.0,11.2,23.8,0.0,2.4,5.6,1.7,0.5,3.5
S12000017,25.5,24.5,14.4,0.0,9.2,26.4,0.0,2.4,2.0,0.8,0.1,1.0
S12000018,32.6,23.0,13.2,0.0,11.5,19.7,0.0,2.4,4.7,1.9,0.5,2.3
S12000019,28.6,27.3,14.5,0.0,8.5,21.1,0.0,2.4,3.0,1.5,0.2,1.3
S12000020,26.7,26.3,14.4,0.0,9.9,22.7,0.0,2.5,2.3,1.0,0.2,1.1
S12000021,31.3,24.2,13.4,0.0,11.4,19.6,0.0,2.6,3.9,1.5,0.5,1.9
S12000023,28.2,22.5,14.7,0.0,8.1,26.5,0.0,2.4,1.5,0.6,0.1,0.7
S12000024,23.4,22.5,14.0,0.0,9.7,30.4,0.0,2.5,2.9,1.4,0.3,1.3
S12000026,27.9,22.7,13.8,0.0,8.7,27.0,0.0,2.3,2.6,1.1,0.2,1.3
S12000027,23.7,26.3,14.4,0.0,9.0,26.6,0.0,2.4,1.5,0.8,0.0,0.7
S12000028,28.5,22.1,14.0,0.0,10.3,25.1,0.0,2.4,3.6,1.6,0.4,1.5
S12000029,29.0,23.8,14.6,0.0,10.5,22.0,0.0,2.3,3.8,1.8,0.4,1.5
S12000030,21.3,20.4,16.2,0.0,8.7,33.3,0.0,2.4,9.4,3.3,1.1,5.0
S12000033,20.2,22.0,15.0,0.0,9.6,33.2,0.0,1.8,11.9,4.9,1.1,5.8
S12000034,23.6,25.6,13.8,0.0,10.2,27.0,0.0,2.6,2.7,1.5,0.2,1.1
S12000035,24.7,22.8,14.8,0.0,8.8,28.9,0.0,2.5,2.1,0.8,0.2,1.1
S12000036,17.1,18.5,15.3,0.0,7.6,41.4,0.0,1.9,12.3,3.7,0.9,7.7
S12000038,28.1,23.1,14.5,0.0,11.2,23.1,0.0,2.3,5.0,2.3,0.5,2.2
S12000039,32.8,25.2,14.4,0.0,11.1,16.5,0.0,2.4,4.1,1.9,0.4,1.7
S12000040,26.2,28.3,13.9,0.0,10.1,21.5,0.0,2.6,3.2,1.5,0.3,1.4
S12000041,27.3,24.8,13.3,0.0,10.9,23.6,0.0,2.4,3.3,1.5,0.3,1.5
S12000042,26.9,22.8,15.6,0.0,9.9,24.8,0.0,1.9,13.0,4.1,1.4,7.6
S12000044,33.0,25.6,13.8,0.0,10.5,17.2,0.0,2.4,3.9,1.9,0.4,1.6
S12000045,19.9,19.3,16.3,0.0,9.8,34.8,0.0,2.9,5.0,2.5,0.3,2.2
S12000046,32.0,19.7,13.4,0.0,9.0,25.9,0.0,1.9,10.8,3.5,1.0,6.2
