mnemonic,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive
E08000037,28.0,14.3,15.5,5.2,11.3,21.5,4.1,2.5,3.9,1.4,0.3,2.1
E08000021,23.6,11.3,12.5,3.4,17.1,27.2,4.9,2.3,16.2,4.2,1.4,10.6
E08000022,23.7,14.0,16.1,5.3,11.9,25.3,3.7,2.4,3.1,1.5,0.3,1.4
E08000023,28.0,14.6,16.2,6.1,12.0,19.2,3.9,2.6,3.7,1.5,0.4,1.7
E08000024,29.1,15.5,16.2,5.0,12.0,18.2,4.0,2.5,5.1,1.8,0.6,2.7
E06000008,28.7,14.3,15.2,3.9,11.4,19.8,6.6,3.4,4.7,1.7,0.5,2.5
E06000009,31.3,15.5,17.1,4.2,11.6,15.5,4.7,2.5,3.3,1.5,0.4,1.5
E06000049,19.6,12.1,16.0,4.1,12.4,32.0,3.8,2.7,3.4,1.4,0.3,1.8
E06000050,21.0,13.3,15.7,4.0,12.9,29.4,3.8,2.6,4.2,1.7,0.3,2.2
E06000006,26.9,16.8,18.6,3.8,12.5,17.6,3.7,2.9,3.3,1.3,0.3,1.6
E06000007,20.7,14.6,16.5,4.1,12.6,27.4,4.1,2.8,3.2,1.5,0.3,1.4
E07000026,27.0,13.7,16.2,5.0,11.5,22.8,3.8,2.6,1.9,0.9,0.1,0.8
E07000027,25.4,13.6,15.7,9.2,13.7,19.0,3.4,2.7,2.1,0.9,0.2,0.9
E07000028,24.9,14.8,16.4,4.6,12.6,22.2,4.6,2.3,3.7,1.7,0.3,1.7
E07000029,27.0,14.2,15.7,5.9,12.4,21.0,3.9,2.5,1.7,0.7,0.1,0.9
E07000030,22.7,13.4,16.5,3.7,12.0,27.4,4.2,2.3,2.5,1.3,0.2,1.1
