mnemonic,Mean Age,%,Median Age,%
E06000005,40.2,-,41.0,-
E06000047,41.0,-,42.0,-
E06000001,39.8,-,40.0,-
E06000002,37.8,-,37.0,-
E06000057,42.8,-,45.0,-
E06000003,41.5,-,43.0,-
E06000004,39.1,-,39.0,-
E08000037,40.5,-,40.0,-
E08000021,36.9,-,33.0,-
E08000022,40.9,-,41.0,-
E08000023,41.2,-,42.0,-
E08000024,40.4,-,41.0,-
E06000008,36.2,-,35.0,-
E06000009,41.3,-,42.0,-
E06000049,42.0,-,43.0,-
E06000050,41.3,-,42.0,-
E06000006,38.9,-,39.0,-
E06000007,39.5,-,40.0,-
E07000026,43.1,-,45.0,-
E07000027,41.3,-,42.0,-
E07000028,41.3,-,42.0,-
E07000029,42.1,-,44.0,-
E07000030,44.1,-,46.0,-
E07000031,45.4,-,48.0,-
E08000001,38.4,-,38.0,-
E08000002,39.2,-,40.0,-
E08000003,33.2,-,29.0,-
E08000004,37.4,-,37.0,-
E08000005,37.9,-,38.0,-
E08000006,37.4,-,35.0,-
E08000007,40.8,-,41.0,-
E08000008,39.1,-,39.0,-
E08000009,39.3,-,39.0,-
E08000010,39.6,-,40.0,-
E07000117,39.4,-,39.0,-
E07000118,40.5,-,41.0,-
E07000119,44.9,-,47.0,-
E07000120,38.7,-,39.0,-
E07000121,40.2,-,40.0,-
E07000122,38.9,-,39.0,-
E07000123,36.9,-,35.0,-
E07000124,42.5,-,44.0,-
E07000125,39.6,-,40.0,-
E07000126,40.8,-,42.0,-
E07000127,41.2,-,42.0,-
E07000128,44.7,-,47.0,-
E08000011,39.1,-,40.0,-
E08000012,37.7,-,35.0,-
E08000014,42.5,-,44.0,-
E08000013,40.7,-,41.0,-
E08000015,41.4,-,42.0,-
E06000011,43.5,-,45.0,-
E06000010,37.5,-,36.0,-
E06000012,40.2,-,41.0,-
E06000013,40.8,-,42.0,-
E06000014,39.5,-,38.0,-
E07000163,44.5,-,47.0,-
E07000164,43.5,-,46.0,-
E07000165,42.0,-,43.0,-
E07000166,40.0,-,40.0,-
