mnemonic,Mean Age,%,Median Age,%
E07000167,44.6,-,47.0,-
E07000168,44.2,-,46.0,-
E07000169,40.9,-,42.0,-
E08000016,40.4,-,41.0,-
E08000017,39.8,-,40.0,-
E08000018,40.2,-,41.0,-
E08000019,37.9,-,36.0,-
E08000032,36.2,-,34.0,-
E08000033,39.6,-,40.0,-
E08000034,38.4,-,38.0,-
E08000035,37.6,-,35.0,-
E08000036,40.2,-,41.0,-
E06000015,37.6,-,36.0,-
E06000016,34.8,-,31.0,-
E06000018,34.8,-,30.0,-
E06000017,42.4,-,43.0,-
E07000032,41.8,-,43.0,-
E07000033,41.0,-,42.0,-
E07000034,41.4,-,42.0,-
E07000035,44.5,-,47.0,-
E07000036,40.8,-,41.0,-
E07000037,41.1,-,43.0,-
E07000038,43.3,-,45.0,-
E07000039,39.5,-,40.0,-
E07000129,40.9,-,42.0,-
E07000130,39.3,-,39.0,-
E07000131,41.6,-,43.0,-
E07000132,41.7,-,43.0,-
E07000133,41.7,-,43.0,-
E07000134,40.8,-,42.0,-
E07000135,41.0,-,41.0,-
E07000136,41.5,-,42.0,-
E07000137,45.8,-,49.0,-
E07000138,37.4,-,34.0,-
E07000139,42.7,-,44.0,-
E07000140,43.4,-,45.0,-
E07000141,41.8,-,43.0,-
E07000142,43.1,-,45.0,-
E07000150,37.5,-,37.0,-
E07000151,40.9,-,43.0,-
E07000152,40.4,-,42.0,-
E07000153,39.5,-,40.0,-
E07000154,37.1,-,36.0,-
E07000155,41.1,-,43.0,-
E07000156,39.6,-,40.0,-
E07000170,40.0,-,41.0,-
E07000171,41.5,-,43.0,-
E07000172,41.4,-,42.0,-
E07000173,41.4,-,42.0,-
E07000174,40.2,-,41.0,-
E07000175,41.6,-,43.0,-
E07000176,41.2,-,42.0,-
E06000019,43.0,-,44.0,-
E06000051,42.6,-,44.0,-
E06000021,38.5,-,38.0,-
E06000020,38.1,-,38.0,-
E07000192,39.6,-,40.0,-
E07000193,39.8,-,40.0,-
E07000194,42.2,-,44.0,-
E07000195,40.8,-,41.0,-
E07000196,43.2,-,45.0,-
E07000197,41.8,-,43.0,-
E07000198,43.4,-,45.0,-
E07000199,38.6,-,39.0,-
E07000218,41.7,-,43.0,-
E07000219,39.7,-,40.0,-
E07000220,40.0,-,40.0,-
E07000221,43.8,-,46.0,-
E07000222,39.7,-,39.0,-
E08000025,35.3,-,32.0,-
E08000026,36.8,-,34.0,-
E08000027,40.5,-,41.0,-
E08000028,37.4,-,36.0,-
E08000029,41.3,-,42.0,-
E08000030,38.8,-,38.0,-
E08000031,38.5,-,37.0,-
E07000234,42.6,-,44.0,-
E07000235,44.9,-,47.0,-
E07000236,38.6,-,38.0,-
E07000237,38.3,-,37.0,-
E07000238,43.5,-,45.0,-
E07000239,42.7,-,44.0,-
E06000055,38.9,-,39.0,-
E06000056,39.6,-,40.0,-
E06000032,34.8,-,32.0,-
E06000031,36.9,-,35.0,-
E06000033,40.2,-,40.0,-
E06000034,36.8,-,36.0,-
E07000008,35.6,-,31.0,-
E07000009,40.2,-,40.0,-
E07000010,42.1,-,43.0,-
E07000011,39.9,-,41.0,-
E07000012,40.1,-,41.0,-
E07000066,39.1,-,39.0,-
E07000067,40.0,-,41.0,-
E07000068,41.6,-,43.0,-
E07000069,43.2,-,45.0,-
E07000070,40.1,-,40.0,-
E07000071,38.9,-,38.0,-
E07000072,41.1,-,42.0,-
E07000073,38.2,-,37.0,-
E07000074,43.0,-,45.0,-
E07000075,42.3,-,44.0,-
E07000076,45.7,-,48.0,-
E07000077,40.6,-,42.0,-
E07000095,39.1,-,39.0,-
E07000096,39.4,-,40.0,-
E07000242,39.5,-,40.0,-
E07000098,39.4,-,39.0,-
E07000099,40.2,-,40.0,-
E07000240,38.9,-,39.0,-
E07000243,37.8,-,37.0,-
E07000102,40.0,-,41.0,-
E07000103,36.5,-,35.0,-
E07000241,38.0,-,36.0,-
E07000143,42.6,-,44.0,-
E07000144,43.9,-,45.0,-
E07000145,42.1,-,43.0,-
E07000146,43.5,-,45.0,-
E07000147,47.5,-,51.0,-
E07000148,37.4,-,34.0,-
E07000149,43.0,-,45.0,-
E07000200,43.1,-,45.0,-
E07000201,38.7,-,37.0,-
E07000202,38.0,-,36.0,-
E07000203,42.4,-,44.0,-
E07000204,41.0,-,41.0,-
E07000205,44.2,-,46.0,-
E07000206,43.9,-,45.0,-
E09000007,35.7,-,33.0,-
E09000001,41.4,-,39.0,-
E09000012,32.4,-,30.0,-
E09000013,34.7,-,32.0,-
E09000014,34.2,-,32.0,-
E09000019,34.5,-,31.0,-
E09000020,37.8,-,36.0,-
E09000022,33.7,-,31.0,-
E09000023,34.6,-,33.0,-
E09000025,31.3,-,29.0,-
E09000028,33.7,-,32.0,-
E09000030,30.9,-,29.0,-
E09000032,34.5,-,32.0,-
E09000033,36.7,-,34.0,-
E09000002,33.4,-,32.0,-
E09000003,36.8,-,35.0,-
E09000004,38.8,-,39.0,-
E09000005,35.0,-,32.0,-
E09000006,39.9,-,40.0,-
E09000008,36.4,-,35.0,-
E09000009,35.4,-,33.0,-
E09000010,35.9,-,34.0,-
E09000011,34.6,-,33.0,-
E09000015,37.6,-,36.0,-
E09000016,40.4,-,40.0,-
E09000017,36.4,-,35.0,-
E09000018,35.2,-,33.0,-
E09000021,37.0,-,35.0,-
E09000024,36.3,-,34.0,-
E09000026,35.6,-,34.0,-
E09000027,38.3,-,38.0,-
E09000029,38.3,-,38.0,-
E09000031,34.4,-,32.0,-
E06000036,37.4,-,37.0,-
E06000043,37.4,-,35.0,-
E06000046,44.4,-,46.0,-
E06000035,37.7,-,37.0,-
E06000042,36.1,-,35.0,-
E06000044,36.5,-,34.0,-
E06000038,35.3,-,33.0,-
E06000039,33.5,-,32.0,-
E06000045,36.1,-,32.0,-
E06000037,39.4,-,40.0,-
E06000040,39.8,-,40.0,-
E06000041,39.4,-,40.0,-
E07000004,39.1,-,40.0,-
E07000005,41.6,-,44.0,-
E07000006,41.8,-,43.0,-
E07000007,38.9,-,39.0,-
E07000061,42.8,-,43.0,-
E07000062,40.2,-,41.0,-
E07000063,43.7,-,45.0,-
E07000064,47.2,-,50.0,-
E07000065,44.0,-,46.0,-
E07000084,38.7,-,39.0,-
E07000085,42.0,-,44.0,-
E07000086,40.1,-,41.0,-
E07000087,42.6,-,44.0,-
E07000088,39.8,-,40.0,-
E07000089,40.0,-,41.0,-
E07000090,42.3,-,44.0,-
E07000091,45.2,-,47.0,-
E07000092,36.6,-,36.0,-
E07000093,41.4,-,43.0,-
E07000094,40.9,-,42.0,-
E07000105,39.6,-,40.0,-
E07000106,40.0,-,39.0,-
E07000107,37.8,-,37.0,-
E07000108,42.1,-,44.0,-
E07000109,38.7,-,39.0,-
E07000110,40.1,-,41.0,-
E07000111,41.4,-,43.0,-
E07000112,42.4,-,43.0,-
E07000113,39.6,-,40.0,-
E07000114,41.9,-,43.0,-
E07000115,39.8,-,41.0,-
E07000116,39.6,-,40.0,-
E07000177,38.9,-,39.0,-
E07000178,34.3,-,29.0,-
E07000179,40.9,-,42.0,-
E07000180,40.8,-,41.0,-
E07000181,41.1,-,42.0,-
E07000207,39.8,-,40.0,-
E07000208,40.0,-,40.0,-
E07000209,39.0,-,38.0,-
E07000210,42.7,-,44.0,-
E07000211,39.9,-,40.0,-
E07000212,39.7,-,39.0,-
E07000213,40.4,-,41.0,-
E07000214,40.2,-,41.0,-
E07000215,41.3,-,43.0,-
E07000216,41.5,-,42.0,-
E07000217,38.7,-,38.0,-
E07000223,43.0,-,44.0,-
E07000224,45.5,-,47.0,-
E07000225,44.5,-,46.0,-
E07000226,36.8,-,35.0,-
E07000227,42.1,-,44.0,-
E07000228,41.0,-,42.0,-
E07000229,42.2,-,42.0,-
E06000022,40.3,-,40.0,-
E06000028,40.0,-,38.0,-
E06000023,36.5,-,33.0,-
E06000052,43.3,-,45.0,-
E06000053,44.7,-,46.0,-
E06000024,42.6,-,44.0,-
E06000026,39.0,-,38.0,-
E06000029,42.1,-,42.0,-
E06000025,39.8,-,40.0,-
E06000030,38.1,-,38.0,-
E06000027,44.2,-,46.0,-
E06000054,40.8,-,42.0,-
E07000040,46.9,-,49.0,-
E07000041,38.1,-,35.0,-
E07000042,42.3,-,44.0,-
E07000043,43.3,-,45.0,-
E07000044,45.3,-,48.0,-
E07000045,44.6,-,47.0,-
E07000046,44.6,-,47.0,-
E07000047,44.6,-,47.0,-
E07000048,47.1,-,49.0,-
E07000049,46.9,-,49.0,-
E07000050,42.8,-,44.0,-
E07000051,44.9,-,47.0,-
E07000052,46.2,-,49.0,-
E07000053,42.8,-,44.0,-
E07000078,39.5,-,38.0,-
E07000079,44.2,-,46.0,-
E07000080,43.0,-,45.0,-
E07000081,38.2,-,38.0,-
E07000082,42.3,-,44.0,-
E07000083,42.4,-,44.0,-
E07000187,41.9,-,43.0,-
E07000188,42.4,-,44.0,-
E07000189,42.9,-,44.0,-
E07000190,41.8,-,43.0,-
E07000191,47.7,-,51.0,-
W06000001,43.4,-,45.0,-
W06000002,41.6,-,42.0,-
W06000003,44.6,-,46.0,-
W06000004,42.4,-,44.0,-
W06000005,40.6,-,41.0,-
W06000006,39.8,-,40.0,-
W06000023,43.9,-,46.0,-
W06000008,41.7,-,42.0,-
W06000009,42.9,-,45.0,-
W06000010,42.3,-,44.0,-
W06000011,40.1,-,39.0,-
W06000012,41.3,-,42.0,-
W06000013,40.7,-,41.0,-
W06000014,40.9,-,42.0,-
W06000015,36.5,-,33.0,-
W06000016,39.8,-,40.0,-
W06000024,39.7,-,40.0,-
W06000018,39.5,-,40.0,-
W06000019,40.5,-,41.0,-
W06000020,40.4,-,41.0,-
W06000021,43.0,-,45.0,-
W06000022,38.8,-,38.0,-
S12000033,38.7,-,36.0,-
S12000034,40.4,-,42.0,-
S12000041,42.4,-,44.0,-
S12000035,43.9,-,46.0,-
S12000005,40.2,-,41.0,-
S12000006,43.6,-,46.0,-
S12000042,39.3,-,38.0,-
S12000008,40.9,-,42.0,-
S12000045,42.2,-,44.0,-
S12000010,41.0,-,42.0,-
S12000011,41.0,-,43.0,-
S12000036,38.5,-,36.0,-
S12000013,43.7,-,46.0,-
S12000014,40.1,-,41.0,-
S12000015,40.8,-,42.0,-
S12000046,38.0,-,36.0,-
S12000017,41.9,-,44.0,-
S12000018,41.5,-,43.0,-
S12000019,40.4,-,42.0,-
S12000020,41.2,-,42.0,-
S12000021,41.6,-,43.0,-
S12000044,39.0,-,39.0,-
S12000023,42.6,-,45.0,-
S12000024,42.6,-,44.0,-
S12000038,40.6,-,42.0,-
S12000026,43.5,-,46.0,-
S12000027,40.1,-,41.0,-
S12000028,43.5,-,45.0,-
S12000029,40.7,-,42.0,-
S12000030,40.2,-,41.0,-
S12000039,40.3,-,41.0,-
S12000040,38.2,-,39.0,-
95AA,36.7,-,36.0,-
95BB,40.0,-,41.0,-
95CC,37.1,-,36.0,-
95DD,39.2,-,39.0,-
95EE,37.7,-,37.0,-
95FF,37.1,-,37.0,-
95GG,37.3,-,35.0,-
95HH,39.2,-,40.0,-
95II,40.1,-,41.0,-
95JJ,39.3,-,39.0,-
95KK,36.0,-,34.0,-
95LL,36.6,-,35.0,-
95MM,35.8,-,35.0,-
95NN,37.8,-,38.0,-
95OO,35.6,-,34.0,-
95PP,38.2,-,38.0,-
95QQ,40.1,-,41.0,-
95RR,36.6,-,36.0,-
95SS,37.1,-,37.0,-
95TT,35.6,-,34.0,-
95UU,39.5,-,40.0,-
95VV,35.6,-,34.0,-
95WW,38.2,-,38.0,-
95XX,40.9,-,41.0,-
95YY,36.6,-,36.0,-
95ZZ,37.2,-,37.0,-
S12000005,40.2,-,41.0,-
S12000006,43.6,-,46.0,-
S12000008,40.9,-,42.0,-
S12000010,41.0,-,42.0,-
S12000011,41.0,-,43.0,-
S12000013,43.7,-,46.0,-
S12000014,40.1,-,41.0,-
S12000015,40.8,-,42.0,-
S12000017,41.9,-,44.0,-
S12000018,41.5,-,43.0,-
S12000019,40.4,-,42.0,-
S12000020,41.2,-,42.0,-
S12000021,41.6,-,43.0,-
S12000023,42.6,-,45.0,-
S12000024,42.6,-,44.0,-
S12000026,43.5,-,46.0,-
S12000027,40.1,-,41.0,-
S12000028,43.5,-,45.0,-
S12000029,40.7,-,42.0,-
S12000030,40.2,-,41.0,-
S12000033,38.7,-,36.0,-
S12000034,40.4,-,42.0,-
S12000035,43.9,-,46.0,-
S12000036,38.5,-,36.0,-
S12000038,40.6,-,42.0,-
S12000039,40.3,-,41.0,-
S12000040,38.2,-,39.0,-
S12000041,42.4,-,44.0,-
S12000042,39.3,-,38.0,-
S12000044,39.0,-,39.0,-
S12000045,42.2,-,44.0,-
S12000046,38.0,-,36.0,-
E12000001,40.3,-,41.0,-
E12000002,39.5,-,39.0,-
E12000003,39.4,-,39.0,-
E12000004,40.0,-,40.0,-
E12000005,39.3,-,39.0,-
E12000006,40.2,-,40.0,-
E12000007,35.6,-,33.0,-
E12000008,40.0,-,40.0,-
E12000009,41.6,-,42.0,-
