mnemonic,White,Gypsy / Traveller / Irish Traveller,Mixed / Multiple ethnic group,Asian / Asian British: Indian,Asian / Asian British: Pakistani,Asian / Asian British: Bangladeshi,Asian / Asian British: Chinese,Asian / Asian British: Other Asian,Black / African / Caribbean / Black British,Other Ethnic Group
E07000126,97.0,0.0,1.1,0.7,0.2,0.0,0.3,0.2,0.2,0.1
E07000127,98.1,0.0,0.8,0.4,0.1,0.0,0.2,0.2,0.2,0.1
E07000128,98.2,0.1,0.6,0.2,0.1,0.1,0.3,0.3,0.1,0.1
E08000011,97.2,0.0,1.3,0.3,0.1,0.0,0.3,0.3,0.3,0.1
E08000012,88.9,0.0,2.5,1.1,0.4,0.2,1.7,0.7,2.6,1.8
E08000014,97.4,0.0,1.0,0.2,0.0,0.1,0.4,0.2,0.3,0.3
E08000013,98.0,0.0,0.7,0.3,0.1,0.1,0.3,0.3,0.1,0.1
E08000015,97.0,0.0,1.0,0.4,0.1,0.3,0.5,0.3,0.2,0.2
E06000011,98.0,0.1,0.7,0.3,0.1,0.0,0.2,0.2,0.2,0.2
E06000010,94.0,0.1,1.3,0.4,0.3,0.3,0.8,0.6,1.2,0.8
E06000012,97.4,0.0,0.7,0.3,0.1,0.2,0.4,0.3,0.3,0.3
E06000013,95.9,0.1,0.7,0.7,0.5,0.9,0.3,0.4,0.3,0.2
E06000014,94.1,0.1,1.2,0.8,0.2,0.2,1.2,1.0,0.6,0.5
E07000163,97.3,0.1,0.7,0.3,0.9,0.1,0.2,0.3,0.1,0.1
E07000164,98.2,0.1,0.7,0.2,0.1,0.0,0.1,0.2,0.2,0.1
E07000165,96.3,0.1,1.1,0.4,0.1,0.0,0.6,0.5,0.7,0.3
E07000166,95.3,0.0,1.0,0.1,0.1,0.0,0.2,2.0,1.0,0.3
E07000167,98.5,0.2,0.6,0.1,0.0,0.0,0.2,0.3,0.2,0.1
E07000168,97.5,0.0,0.8,0.4,0.2,0.1,0.3,0.4,0.2,0.2
E07000169,98.2,0.2,0.8,0.2,0.0,0.0,0.2,0.2,0.3,0.0
E08000016,97.8,0.1,0.7,0.2,0.1,0.0,0.2,0.2,0.5,0.2
E08000017,95.1,0.2,1.1,0.6,0.9,0.0,0.4,0.6,0.8,0.4
E08000018,93.5,0.0,1.0,0.4,3.0,0.0,0.2,0.5,0.8,0.5
E08000019,83.6,0.1,2.4,1.1,4.0,0.6,1.3,1.0,3.6,2.2
E08000032,67.4,0.1,2.5,2.6,20.4,1.9,0.4,1.5,1.8,1.5
E08000033,89.6,0.0,1.4,0.6,6.8,0.3,0.2,0.4,0.4,0.2
E08000034,79.1,0.0,2.3,4.9,9.9,0.2,0.3,0.7,1.9,0.6
E08000035,85.0,0.1,2.6,2.1,3.0,0.6,0.8,1.2,3.4,1.1
E08000036,95.3,0.1,0.9,0.5,1.5,0.0,0.3,0.4,0.8,0.3
E06000015,80.2,0.1,2.9,4.4,5.9,0.3,0.5,1.5,2.9,1.3
E06000016,50.4,0.1,3.5,28.3,2.4,1.1,1.3,4.0,6.2,2.6
E06000018,71.4,0.1,6.6,3.2,5.5,0.3,2.0,2.1,7.3,1.5
E06000017,97.0,0.2,1.0,0.3,0.1,0.0,0.3,0.2,0.7,0.2
E07000032,98.1,0.0,0.8,0.3,0.1,0.0,0.2,0.2,0.2,0.1
E07000033,98.0,0.1,0.7,0.3,0.1,0.0,0.2,0.2,0.4,0.0
E07000034,96.5,0.0,1.1,0.5,0.3,0.1,0.4,0.3,0.8,0.1
E07000035,98.6,0.0,0.7,0.1,0.1,0.0,0.1,0.2,0.1,0.1
E07000036,97.0,0.0,1.1,0.7,0.1,0.0,0.2,0.2,0.5,0.1
E07000037,97.9,0.0,1.0,0.2,0.1,0.0,0.3,0.3,0.2,0.1
E07000038,98.0,0.1,0.8,0.4,0.1,0.0,0.2,0.1,0.2,0.1
E07000039,95.6,0.1,1.1,1.7,0.2,0.0,0.2,0.3,0.4,0.2
E07000129,90.9,0.1,1.6,4.7,0.3,0.0,0.5,0.6,1.0,0.4
E07000130,87.3,0.0,1.6,6.2,0.3,1.2,1.2,0.9,0.8,0.6
E07000131,95.2,0.1,1.1,2.2,0.2,0.1,0.3,0.4,0.4,0.2
E07000132,96.4,0.1,1.0,1.3,0.2,0.1,0.3,0.3,0.2,0.2
E07000133,97.9,0.0,0.8,0.5,0.0,0.0,0.2,0.3,0.2,0.1
E07000134,97.5,0.1,0.9,0.6,0.0,0.0,0.2,0.3,0.2,0.1
E07000135,73.0,0.0,2.1,17.7,1.9,0.2,0.6,1.9,1.2,1.4
E07000136,96.7,0.1,1.0,0.6,0.2,0.1,0.2,0.3,0.4,0.3
E07000137,98.4,0.0,0.7,0.2,0.0,0.1,0.1,0.1,0.2,0.1
E07000138,95.5,0.1,1.3,0.6,0.1,0.1,0.5,0.6,0.8,0.4
E07000139,98.1,0.1,0.7,0.2,0.0,0.1,0.2,0.2,0.2,0.1
E07000140,97.7,0.1,0.9,0.3,0.1,0.1,0.2,0.2,0.3,0.1
E07000141,97.4,0.1,0.9,0.4,0.1,0.0,0.3,0.4,0.4,0.1
E07000142,98.0,0.2,0.7,0.4,0.1,0.0,0.1,0.2,0.3,0.1
E07000150,95.5,0.0,1.4,0.6,0.1,0.2,0.2,0.3,1.6,0.2
E07000151,96.4,0.1,1.2,0.7,0.2,0.1,0.2,0.3,0.6,0.1
E07000152,96.6,0.1,1.2,0.6,0.1,0.0,0.3,0.3,0.7,0.2
E07000153,93.7,0.2,1.4,1.9,0.2,0.1,0.3,0.7,1.1,0.4
E07000154,84.4,0.1,3.2,2.5,0.7,1.6,0.8,0.9,5.1,0.7
E07000155,96.9,0.0,1.2,0.7,0.1,0.1,0.2,0.3,0.4,0.1
E07000156,87.2,0.1,2.9,4.1,0.4,0.7,0.2,0.5,3.6,0.3
E07000170,97.7,0.0,0.9,0.3,0.1,0.1,0.2,0.3,0.4,0.1
E07000171,97.3,0.1,0.9,0.4,0.3,0.1,0.2,0.2,0.5,0.2
E07000172,92.7,0.0,1.7,1.6,0.7,0.1,1.0,0.7,0.9,0.6
E07000173,93.0,0.0,2.3,1.2,0.8,0.1,0.4,0.5,1.5,0.2
E07000174,97.2,0.0,1.1,0.5,0.1,0.2,0.2,0.2,0.4,0.1
E07000175,97.3,0.2,1.0,0.3,0.1,0.1,0.2,0.2,0.4,0.1
E07000176,93.1,0.0,1.8,2.1,1.0,0.0,0.5,0.5,0.6,0.4
E06000019,98.0,0.2,0.7,0.3,0.0,0.0,0.2,0.3,0.2,0.1
E06000051,97.9,0.1,0.7,0.2,0.1,0.1,0.3,0.3,0.2,0.1
E06000021,88.6,0.1,1.8,0.9,4.2,0.4,0.5,1.4,1.5,0.7
E06000020,92.6,0.1,1.8,1.8,1.3,0.1,0.4,0.5,1.1,0.3
E07000192,97.7,0.0,0.9,0.4,0.1,0.0,0.2,0.2,0.3,0.1
E07000193,90.4,0.1,1.4,0.8,4.9,0.1,0.3,0.8,0.9,0.3
E07000194,96.8,0.0,1.0,0.9,0.2,0.1,0.2,0.3,0.5,0.1
E07000195,94.9,0.0,1.2,0.8,0.4,0.1,0.8,0.8,0.7,0.3
E07000196,95.8,0.1,1.4,1.3,0.2,0.0,0.2,0.3,0.5,0.2
E07000197,94.9,0.1,1.3,1.0,0.3,0.1,0.4,0.7,0.8,0.4
E07000198,98.6,0.0,0.6,0.1,0.1,0.0,0.1,0.2,0.1,0.1
E07000199,97.3,0.0,1.0,0.5,0.1,0.0,0.2,0.2,0.5,0.1
E07000218,97.8,0.1,0.8,0.6,0.1,0.0,0.1,0.2,0.3,0.1
E07000219,91.3,0.1,1.1,4.6,0.4,0.0,0.2,1.0,0.8,0.4
E07000220,90.3,0.2,2.0,3.1,0.6,0.1,0.4,1.0,2.0,0.3
E07000221,97.2,0.1,1.0,0.5,0.1,0.0,0.3,0.4,0.2,0.2
E07000222,89.1,0.0,2.0,4.9,0.3,0.1,0.8,1.1,0.7,0.9
E08000025,57.9,0.0,4.4,6.0,13.5,3.0,1.2,2.9,9.0,2.0
E08000026,73.8,0.0,2.6,8.8,3.0,0.9,1.2,2.4,5.6,1.7
E08000027,89.9,0.1,1.8,1.8,3.3,0.1,0.3,0.5,1.5,0.6
E08000028,69.9,0.0,3.3,10.2,4.5,2.1,0.3,2.1,6.0,1.6
E08000029,89.1,0.0,2.1,3.4,1.7,0.3,0.4,0.7,1.6,0.6
E08000030,78.8,0.1,2.7,6.1,5.3,1.9,0.4,1.5,2.4,0.8
E08000031,67.9,0.1,5.1,12.9,1.8,0.2,0.6,2.6,6.9,1.9
E07000234,95.7,0.1,1.5,1.2,0.2,0.0,0.3,0.3,0.5,0.2
E07000235,97.4,0.2,0.9,0.4,0.1,0.0,0.5,0.3,0.2,0.1
E07000236,92.0,0.0,2.0,0.9,3.1,0.2,0.2,0.4,1.0,0.2
E07000237,93.3,0.1,1.4,0.8,1.9,0.5,0.4,0.8,0.5,0.2
E07000238,97.5,0.4,0.8,0.4,0.1,0.1,0.2,0.3,0.2,0.1
E07000239,96.9,0.4,1.0,0.3,0.1,0.5,0.2,0.3,0.2,0.1
E06000055,80.5,0.1,3.4,5.2,2.1,2.0,0.6,1.5,3.9,0.7
E06000056,93.7,0.2,1.9,1.0,0.2,0.1,0.6,0.7,1.4,0.3
E06000032,54.6,0.1,4.1,5.2,14.4,6.7,0.7,2.9,9.8,1.5
E06000031,82.2,0.3,2.7,2.5,6.6,0.1,0.5,2.0,2.3,0.8
E06000033,91.5,0.1,2.1,1.0,0.6,0.5,0.6,0.9,2.1,0.5
E06000034,85.7,0.2,2.0,1.4,0.3,0.4,0.5,1.0,7.8,0.6
E07000008,82.4,0.1,3.2,2.8,0.6,1.5,3.6,2.6,1.7,1.6
E07000009,96.0,0.3,1.4,0.4,0.1,0.1,0.3,0.5,0.6,0.3
E07000010,96.7,0.5,0.9,0.4,0.1,0.1,0.2,0.4,0.5,0.2
E07000011,94.7,0.1,1.5,0.7,0.6,0.2,0.3,0.7,1.0,0.3
E07000012,93.0,0.3,1.7,1.5,0.3,0.1,0.8,1.0,0.9,0.4
E07000066,92.2,0.5,1.7,1.2,0.2,0.2,0.3,0.8,2.7,0.3
E07000067,96.5,0.1,1.2,0.4,0.1,0.1,0.2,0.5,0.6,0.2
E07000068,93.4,0.2,1.6,1.3,0.2,0.2,0.5,1.0,1.2,0.4
E07000069,96.9,0.0,1.0,0.4,0.1,0.1,0.2,0.3,0.8,0.2
E07000070,93.7,0.1,1.6,1.1,0.4,0.3,0.5,0.6,1.2,0.4
E07000071,92.0,0.0,1.8,0.8,0.2,0.2,1.0,1.4,1.5,1.0
E07000072,90.4,0.1,2.1,2.4,0.7,0.2,0.5,0.9,1.9,0.7
E07000073,88.9,0.1,2.1,1.3,0.8,0.5,1.0,1.0,3.8,0.5
E07000074,97.7,0.3,0.8,0.2,0.0,0.1,0.2,0.3,0.2,0.1
E07000075,97.1,0.1,1.1,0.3,0.1,0.1,0.3,0.3,0.5,0.2
E07000076,97.5,0.0,1.1,0.2,0.0,0.1,0.3,0.3,0.3,0.1
E07000077,96.5,0.2,1.2,0.4,0.1,0.2,0.3,0.5,0.5,0.2
E07000095,90.1,0.2,2.3,0.9,0.2,0.2,0.3,0.8,4.2,0.8
E07000096,90.7,0.2,2.1,1.6,1.4,0.2,0.5,0.9,2.1,0.3
E07000242,95.4,0.0,1.6,0.7,0.2,0.2,0.4,0.5,0.7,0.3
E07000098,84.9,0.2,2.6,3.7,0.5,0.2,0.9,2.1,3.9,1.0
E07000099,89.5,0.0,2.7,2.7,0.3,0.4,0.6,1.3,2.0,0.5
E07000240,88.3,0.1,2.8,1.6,0.8,1.9,0.8,1.3,1.7,0.7
E07000243,87.6,0.1,2.7,1.9,0.6,0.6,0.8,1.9,3.4,0.5
E07000102,86.1,0.1,2.3,6.0,0.7,0.2,0.7,1.6,1.8,0.5
E07000103,71.9,0.1,3.4,5.5,6.7,0.4,0.9,4.4,5.8,0.9
E07000241,83.9,0.1,2.5,3.2,0.7,0.4,1.7,1.9,4.5,1.0
E07000143,97.3,0.2,1.2,0.2,0.1,0.1,0.2,0.3,0.5,0.1
E07000144,97.7,0.0,0.9,0.3,0.0,0.1,0.2,0.3,0.3,0.2
E07000145,96.8,0.1,1.2,0.5,0.1,0.0,0.2,0.4,0.5,0.3
E07000146,97.1,0.2,0.9,0.5,0.1,0.0,0.3,0.4,0.4,0.2
E07000147,98.6,0.0,0.6,0.1,0.0,0.1,0.1,0.2,0.2,0.1
E07000148,90.7,0.1,2.3,1.3,0.2,0.4,1.3,1.3,1.6,0.8
E07000149,97.4,0.1,1.0,0.3,0.1,0.0,0.3,0.3,0.3,0.1
E07000200,97.8,0.1,0.9,0.2,0.0,0.1,0.2,0.3,0.3,0.2
E07000201,91.7,0.2,2.9,0.5,0.2,0.2,0.2,1.0,2.2,0.9
E07000202,88.8,0.1,3.6,1.4,0.2,1.3,0.5,1.0,2.3,0.9
E07000203,97.8,0.1,1.0,0.2,0.0,0.0,0.2,0.3,0.4,0.1
E07000204,96.0,0.1,1.3,0.5,0.1,0.1,0.3,0.6,0.8,0.2
E07000205,96.5,0.0,1.2,0.6,0.1,0.1,0.4,0.4,0.4,0.2
E07000206,97.6,0.1,1.1,0.2,0.0,0.1,0.3,0.3,0.3,0.1
E09000007,66.2,0.1,5.6,2.8,0.7,5.7,2.9,4.0,8.2,3.8
E09000001,78.6,0.0,3.9,2.9,0.2,3.1,3.6,2.9,2.6,2.1
E09000012,54.5,0.2,6.4,3.1,0.8,2.5,1.4,2.7,23.1,5.3
E09000013,68.0,0.1,5.5,1.9,0.9,0.6,1.7,4.0,11.8,5.5
E09000014,60.4,0.1,6.5,2.3,0.8,1.7,1.5,3.2,18.8,4.7
E09000019,68.1,0.1,6.5,1.7,0.5,2.3,2.2,2.6,12.8,3.4
E09000020,70.5,0.1,5.7,1.6,0.6,0.5,2.5,4.8,6.5,7.2
E09000022,57.0,0.1,7.6,1.6,1.0,0.7,1.5,2.0,25.9,2.4
E09000023,53.5,0.1,7.4,1.7,0.6,0.5,2.2,4.3,27.2,2.6
E09000025,28.8,0.2,4.5,13.8,9.8,12.1,1.3,6.5,19.6,3.5
E09000028,54.1,0.1,6.2,2.0,0.6,1.4,2.8,2.7,26.9,3.3
E09000030,45.1,0.1,4.1,2.7,1.0,32.0,3.2,2.3,7.3,2.3
E09000032,71.4,0.1,5.0,2.8,3.2,0.5,1.2,3.2,10.7,2.1
E09000033,61.6,0.0,5.2,3.3,1.1,2.9,2.7,4.6,7.5,11.1
E09000002,58.2,0.1,4.2,4.0,4.3,4.1,0.7,2.8,20.0,1.6
E09000003,64.1,0.0,4.8,7.8,1.5,0.6,2.3,6.2,7.7,4.9
E09000004,81.6,0.3,2.3,3.0,0.3,0.3,1.1,1.8,8.5,0.8
E09000005,36.2,0.1,5.1,18.6,4.6,0.6,1.0,9.2,18.8,5.8
E09000006,84.1,0.2,3.5,2.0,0.3,0.4,0.9,1.6,6.0,0.9
E09000008,55.0,0.1,6.6,6.8,3.0,0.7,1.1,4.8,20.2,1.8
E09000009,48.9,0.1,4.5,14.3,4.3,0.5,1.2,9.3,10.9,6.0
E09000010,60.9,0.1,5.5,3.7,0.8,1.8,0.8,4.0,17.2,5.1
E09000011,62.3,0.2,4.8,3.1,1.0,0.6,2.0,5.0,19.1,1.9
E09000015,42.2,0.1,4.0,26.4,3.3,0.6,1.1,11.3,8.2,2.9
E09000016,87.6,0.1,2.1,2.1,0.6,0.4,0.6,1.1,4.8,0.6
E09000017,60.5,0.1,3.8,13.4,3.4,1.0,1.1,6.5,7.3,3.0
E09000018,51.3,0.1,4.1,19.0,5.4,0.9,0.9,8.2,6.6,3.6
E09000021,74.4,0.1,3.9,4.0,1.9,0.6,1.8,8.1,2.5,2.7
E09000024,64.8,0.1,4.7,4.1,3.7,1.1,1.3,7.9,10.4,1.9
E09000026,42.5,0.1,4.1,16.4,11.1,5.7,1.1,7.4,8.9,2.7
E09000027,85.9,0.1,3.6,2.8,0.6,0.5,0.9,2.5,1.5,1.6
E09000029,78.5,0.1,3.8,3.4,1.4,0.6,1.2,5.0,4.8,1.3
E09000031,52.1,0.1,5.3,3.5,10.2,1.8,1.0,4.5,17.3,4.1
E06000036,90.5,0.1,2.0,1.8,0.5,0.1,0.5,2.2,1.9,0.4
E06000043,89.0,0.1,3.8,1.1,0.2,0.5,1.1,1.2,1.5,1.5
E06000046,97.2,0.1,1.2,0.3,0.1,0.1,0.2,0.5,0.2,0.1
E06000035,89.4,0.2,2.0,2.7,0.6,0.5,0.4,1.0,2.5,0.7
E06000042,80.0,0.0,3.3,3.3,1.5,0.8,1.1,2.5,6.9,0.6
E06000044,88.3,0.0,2.7,1.4,0.3,1.8,1.3,1.3,1.8,1.1
E06000038,74.7,0.1,4.0,4.2,4.5,0.4,1.0,3.5,6.7,1.0
E06000039,45.5,0.2,3.4,15.6,17.7,0.4,0.6,5.4,8.6,2.6
E06000045,85.8,0.1,2.4,2.8,1.3,0.6,1.5,2.2,2.1,1.1
E06000037,94.7,0.1,1.6,1.1,0.3,0.1,0.4,0.5,0.9,0.2
E06000040,86.0,0.2,2.3,4.1,2.9,0.3,0.7,1.6,1.2,0.8
E06000041,88.2,0.2,2.1,3.5,1.9,0.1,0.8,1.2,1.4,0.7
E07000004,89.6,0.1,2.2,1.1,3.1,0.1,0.4,1.1,1.9,0.4
E07000005,91.4,0.1,2.2,1.9,1.9,0.1,0.5,1.0,0.6,0.3
E07000006,83.9,0.4,2.4,7.1,1.4,0.3,0.8,1.7,1.1,1.0
E07000007,81.2,0.1,2.8,1.7,7.6,0.3,0.6,1.8,3.5,0.5
E07000061,94.0,0.1,1.8,0.7,0.1,0.3,0.6,1.1,0.8,0.5
E07000062,93.6,0.2,2.2,0.5,0.1,0.3,0.4,1.0,1.2,0.5
E07000063,96.5,0.1,1.3,0.4,0.1,0.2,0.3,0.5,0.4,0.3
E07000064,96.9,0.1,1.1,0.3,0.0,0.1,0.2,0.5,0.3,0.2
E07000065,97.2,0.2,1.0,0.3,0.0,0.1,0.3,0.4,0.2,0.2
E07000084,92.8,0.1,1.7,1.5,0.2,0.2,0.7,1.4,1.1,0.3
E07000085,96.3,0.2,1.1,0.4,0.0,0.1,0.3,0.7,0.4,0.3
E07000086,94.5,0.2,1.4,1.6,0.1,0.2,0.5,0.6,0.5,0.5
E07000087,96.7,0.1,1.2,0.6,0.1,0.1,0.4,0.3,0.3,0.2
E07000088,96.4,0.0,1.3,0.5,0.0,0.2,0.3,0.3,0.7,0.2
E07000089,94.6,0.3,1.6,1.0,0.2,0.1,0.5,0.9,0.6,0.3
E07000090,97.0,0.1,1.3,0.4,0.1,0.1,0.3,0.3,0.3,0.2
E07000091,97.3,0.2,0.9,0.3,0.0,0.1,0.2,0.4,0.3,0.2
E07000092,84.6,0.2,2.2,1.4,0.7,0.2,0.5,7.6,2.0,0.6
E07000093,95.8,0.1,1.3,0.8,0.1,0.1,0.4,0.6,0.4,0.3
E07000094,95.5,0.2,1.4,0.6,0.1,0.2,0.6,0.8,0.4,0.3
E07000105,93.2,0.5,1.4,0.8,0.1,0.2,0.4,1.9,1.2,0.3
E07000106,92.8,0.2,1.7,1.0,0.2,0.2,1.0,1.1,1.3,0.6
E07000107,87.1,0.3,2.2,2.7,0.2,0.4,0.6,2.0,3.7,0.8
E07000108,96.5,0.2,0.9,0.4,0.0,0.1,0.2,1.0,0.3,0.2
E07000109,82.5,0.3,2.0,7.4,0.5,0.5,0.3,1.7,2.8,1.9
E07000110,93.6,0.5,1.5,0.8,0.2,0.2,0.3,1.6,0.9,0.3
