mnemonic,White,Gypsy / Traveller / Irish Traveller,Mixed / Multiple ethnic group,Asian / Asian British: Indian,Asian / Asian British: Pakistani,Asian / Asian British: Bangladeshi,Asian / Asian British: Chinese,Asian / Asian British: Other Asian,Black / African / Caribbean / Black British,Other Ethnic Group
E12000001,95.3,0.1,0.9,0.6,0.8,0.4,0.6,0.5,0.5,0.4
E12000002,90.2,0.1,1.6,1.5,2.7,0.7,0.7,0.7,1.4,0.6
E12000003,88.7,0.1,1.6,1.3,4.3,0.4,0.5,0.8,1.5,0.8
E12000004,89.2,0.1,1.9,3.7,1.1,0.3,0.5,0.8,1.8,0.6
E12000005,82.6,0.1,2.4,3.9,4.1,0.9,0.6,1.3,3.3,0.9
E12000006,90.7,0.1,1.9,1.5,1.1,0.6,0.6,1.0,2.0,0.5
E12000007,59.7,0.1,5.0,6.6,2.7,2.7,1.5,4.9,13.3,3.4
E12000008,90.5,0.2,1.9,1.8,1.1,0.3,0.6,1.4,1.6,0.6
E12000009,95.3,0.1,1.4,0.6,0.2,0.2,0.4,0.5,0.9,0.3
W92000004,95.5,0.1,1.0,0.6,0.4,0.3,0.4,0.5,0.6,0.5
S92000003,95.9,0.1,0.4,0.6,0.9,0.1,0.6,0.4,0.7,0.3
N92000002,98.2,0.1,0.3,0.3,0.1,0.0,0.3,0.3,0.2,0.1
S12000005,98.3,0.1,0.2,0.2,0.6,0.0,0.2,0.1,0.2,0.0
S12000006,98.8,0.1,0.3,0.2,0.1,0.0,0.2,0.2,0.1,0.1
S12000008,98.8,0.0,0.2,0.2,0.2,0.0,0.3,0.1,0.1,0.1
S12000010,98.3,0.0,0.4,0.3,0.3,0.0,0.2,0.1,0.3,0.1
S12000011,94.1,0.0,0.4,1.2,3.1,0.0,0.5,0.3,0.2,0.3
S12000013,99.1,0.0,0.2,0.1,0.1,0.0,0.0,0.2,0.1,0.1
S12000014,98.0,0.1,0.2,0.3,0.7,0.0,0.2,0.1,0.2,0.1
S12000015,97.5,0.1,0.3,0.3,0.5,0.0,0.5,0.3,0.3,0.1
S12000017,98.5,0.1,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.1
S12000018,98.6,0.0,0.2,0.3,0.2,0.0,0.2,0.1,0.2,0.1
S12000019,98.1,0.1,0.3,0.2,0.4,0.0,0.2,0.2,0.3,0.1
S12000020,98.8,0.1,0.2,0.1,0.2,0.0,0.2,0.2,0.2,0.1
S12000021,98.9,0.0,0.2,0.2,0.1,0.0,0.2,0.1,0.1,0.1
S12000023,99.3,0.0,0.2,0.1,0.1,0.0,0.1,0.1,0.1,0.1
S12000024,97.7,0.3,0.3,0.4,0.2,0.0,0.3,0.3,0.3,0.2
S12000026,98.7,0.1,0.3,0.2,0.1,0.0,0.2,0.2,0.3,0.1
S12000027,98.4,0.0,0.3,0.1,0.2,0.1,0.3,0.3,0.1,0.1
S12000028,98.7,0.1,0.3,0.2,0.1,0.0,0.2,0.1,0.1,0.1
S12000029,97.6,0.1,0.2,0.4,0.7,0.0,0.3,0.2,0.3,0.1
S12000030,96.8,0.1,0.4,0.4,0.3,0.0,1.1,0.5,0.3,0.2
S12000033,91.8,0.1,0.7,1.5,0.5,0.3,1.0,1.0,2.5,0.6
S12000034,98.4,0.1,0.3,0.2,0.1,0.1,0.2,0.3,0.3,0.1
S12000035,98.6,0.1,0.3,0.1,0.1,0.0,0.2,0.2,0.2,0.1
S12000036,91.6,0.1,0.9,1.4,1.2,0.3,1.7,1.0,1.2,0.8
S12000038,97.2,0.0,0.2,0.6,0.6,0.0,0.5,0.2,0.5,0.2
S12000039,98.3,0.1,0.2,0.3,0.3,0.0,0.2,0.2,0.3,0.1
S12000040,97.5,0.0,0.3,0.4,0.8,0.0,0.3,0.2,0.3,0.1
S12000041,98.5,0.2,0.2,0.1,0.2,0.0,0.2,0.2,0.2,0.1
S12000042,94.0,0.1,0.5,1.0,1.4,0.2,0.9,0.5,1.0,0.6
S12000044,97.9,0.1,0.2,0.3,0.9,0.0,0.3,0.1,0.2,0.1
S12000045,95.8,0.0,0.4,1.5,0.7,0.0,0.7,0.4,0.2,0.3
S12000046,88.4,0.1,0.5,1.5,3.8,0.1,1.8,0.9,2.4,0.6
E06000005,95.9,0.3,1.1,0.7,0.1,0.5,0.3,0.4,0.3,0.2
E06000047,98.1,0.1,0.6,0.3,0.1,0.0,0.3,0.2,0.1,0.2
E06000001,97.6,0.0,0.6,0.3,0.3,0.2,0.2,0.3,0.2,0.1
E06000002,88.1,0.1,1.7,1.1,4.9,0.2,0.7,1.0,1.3,1.1
E06000057,98.4,0.0,0.5,0.3,0.1,0.1,0.1,0.2,0.1,0.1
E06000003,98.5,0.1,0.6,0.1,0.2,0.1,0.1,0.2,0.1,0.1
E06000004,94.5,0.1,1.0,0.8,1.6,0.1,0.5,0.6,0.6,0.3
E08000037,96.2,0.0,0.8,0.5,0.3,0.1,0.5,0.5,0.5,0.5
E08000021,85.4,0.1,1.5,1.8,2.3,1.7,2.2,1.8,1.8,1.5
E08000022,96.6,0.0,0.9,0.5,0.2,0.3,0.4,0.4,0.4,0.2
E08000023,95.9,0.0,0.9,0.4,0.3,1.0,0.2,0.3,0.3,0.7
E08000024,95.9,0.0,0.6,0.6,0.2,0.8,0.6,0.5,0.5,0.3
E06000008,69.1,0.1,1.2,13.4,12.1,1.0,0.5,1.1,0.6,0.8
E06000009,96.5,0.2,1.2,0.4,0.2,0.2,0.4,0.5,0.2,0.2
E06000049,96.6,0.1,1.0,0.6,0.2,0.1,0.3,0.4,0.4,0.2
E06000050,97.3,0.1,0.9,0.4,0.1,0.2,0.3,0.3,0.3,0.2
E06000006,97.8,0.0,1.1,0.2,0.0,0.0,0.2,0.2,0.2,0.1
E06000007,95.9,0.0,1.1,0.9,0.6,0.1,0.4,0.5,0.3,0.2
E07000026,98.9,0.0,0.4,0.1,0.0,0.1,0.1,0.2,0.1,0.1
E07000027,98.3,0.1,0.5,0.2,0.1,0.1,0.3,0.3,0.1,0.1
E07000028,97.9,0.2,0.5,0.3,0.1,0.2,0.3,0.3,0.1,0.1
E07000029,98.4,0.0,0.5,0.2,0.1,0.1,0.2,0.3,0.1,0.1
E07000030,98.9,0.0,0.4,0.1,0.0,0.1,0.2,0.2,0.0,0.1
E07000031,98.3,0.0,0.6,0.2,0.0,0.1,0.3,0.2,0.2,0.1
E08000001,81.8,0.1,1.8,7.8,4.3,0.2,0.5,1.1,1.7,0.7
E08000002,89.1,0.0,1.8,0.7,4.9,0.2,0.6,0.9,1.0,0.7
E08000003,66.5,0.1,4.6,2.3,8.5,1.3,2.7,2.3,8.6,3.1
E08000004,77.5,0.0,1.8,0.7,10.1,7.3,0.3,0.8,1.2,0.2
E08000005,81.6,0.1,1.7,0.5,10.5,2.1,0.4,1.4,1.3,0.4
E08000006,90.1,0.1,2.0,1.1,0.8,0.3,1.1,0.8,2.8,1.1
E08000007,92.1,0.0,1.8,1.0,2.4,0.2,0.6,0.7,0.7,0.6
E08000008,90.9,0.0,1.4,1.7,2.2,2.0,0.4,0.3,0.8,0.2
E08000009,85.5,0.0,2.7,2.8,3.1,0.2,1.0,0.9,2.9,1.0
E08000010,97.2,0.0,0.9,0.3,0.2,0.0,0.3,0.3,0.5,0.2
E07000117,87.3,0.0,1.1,0.4,6.8,2.8,0.3,0.8,0.2,0.3
E07000118,96.8,0.1,0.9,0.6,0.5,0.1,0.2,0.2,0.4,0.2
E07000119,97.5,0.0,1.0,0.4,0.2,0.0,0.3,0.3,0.2,0.2
E07000120,87.5,0.1,0.9,0.3,9.3,0.5,0.3,0.6,0.1,0.2
E07000121,95.4,0.2,1.0,0.9,0.3,0.2,0.9,0.4,0.5,0.2
E07000122,79.8,0.0,1.1,0.3,17.1,0.4,0.3,0.7,0.1,0.2
E07000123,80.1,0.1,2.4,10.3,3.2,0.3,0.9,0.9,1.2,0.8
E07000124,97.8,0.0,0.6,0.4,0.5,0.1,0.2,0.2,0.2,0.1
E07000125,93.7,0.1,0.9,0.3,1.7,2.4,0.3,0.3,0.2,0.1
