mnemonic,All usual residents aged 16 to 74,Economically active,Economically active: In employment,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically Inactive,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed: Age 16 to 24,Unemployed: Age 50 to 74,Unemployed: Never worked,Long-term unemployed
S12000005,100.0,67.5,59.2,13.0,40.2,6.0,5.7,2.6,32.5,16.4,3.6,3.6,5.8,3.1,1.8,1.0,1.0,2.4
S12000006,100.0,67.7,61.5,15.9,34.5,11.1,4.2,2.0,32.3,19.5,3.2,3.3,4.7,1.6,1.4,0.8,0.6,1.6
S12000008,100.0,67.2,58.6,13.9,37.7,7.0,6.0,2.7,32.8,16.5,4.2,3.7,6.1,2.3,1.8,1.1,0.9,2.4
S12000010,100.0,71.1,64.0,15.0,39.6,9.4,4.2,3.0,28.9,15.8,4.2,3.3,3.9,1.6,1.4,0.7,0.6,1.4
S12000011,100.0,69.9,61.9,14.0,38.8,9.2,3.5,4.5,30.1,16.0,5.3,3.7,3.8,1.4,1.0,0.8,0.5,1.3
S12000013,100.0,70.6,64.6,15.2,39.4,10.1,4.2,1.8,29.4,18.1,3.3,2.8,3.7,1.4,1.0,1.3,0.3,1.7
S12000014,100.0,71.1,63.1,13.9,43.1,6.1,5.1,2.9,28.9,15.7,3.0,3.3,5.1,1.9,1.6,0.9,0.6,2.0
S12000015,100.0,67.6,59.2,13.6,39.1,6.6,5.2,3.1,32.4,16.5,6.0,3.5,4.7,1.7,1.6,1.0,0.7,2.1
S12000017,100.0,71.5,65.7,15.2,39.5,11.0,4.0,1.9,28.5,16.0,3.2,3.8,3.9,1.7,1.1,0.9,0.4,1.4
S12000018,100.0,64.2,55.8,13.8,37.0,5.0,5.2,3.2,35.8,16.0,4.9,3.9,8.9,2.1,1.5,1.1,0.6,1.8
S12000019,100.0,71.1,64.1,15.0,41.6,7.5,4.4,2.7,28.9,15.6,3.5,3.6,4.5,1.7,1.6,0.7,0.6,1.6
S12000020,100.0,71.5,65.5,15.7,41.4,8.4,3.9,2.1,28.5,16.3,3.4,3.9,3.2,1.5,1.4,0.8,0.4,1.3
S12000021,100.0,65.2,55.5,13.5,35.4,6.5,6.8,2.9,34.8,18.4,4.4,3.9,6.2,1.9,2.0,1.3,0.9,3.0
S12000023,100.0,73.7,69.3,16.5,37.5,15.2,2.4,2.0,26.3,16.8,2.4,3.1,3.0,1.0,0.8,0.5,0.2,0.8
S12000024,100.0,71.0,65.0,14.3,40.1,10.6,3.3,2.7,29.0,17.2,3.5,3.0,3.3,1.9,1.1,0.7,0.4,1.1
S12000026,100.0,69.6,63.5,15.1,36.3,12.1,4.0,2.1,30.4,18.6,3.5,3.1,3.6,1.5,1.3,0.9,0.5,1.5
S12000027,100.0,78.1,74.0,17.4,47.6,9.0,2.0,2.0,21.9,12.8,2.5,2.3,3.0,1.3,0.7,0.4,0.2,0.7
S12000028,100.0,65.7,57.8,14.5,35.3,8.0,4.8,3.1,34.3,19.9,3.9,3.6,5.2,1.7,1.5,1.0,0.6,1.9
S12000029,100.0,70.1,61.9,13.2,41.6,7.0,5.1,3.1,29.9,15.5,3.8,3.3,5.6,1.8,1.6,1.0,0.7,2.0
S12000030,100.0,68.0,58.5,12.6,36.7,9.3,3.9,5.6,32.0,15.1,7.6,3.3,4.1,1.9,1.2,0.7,0.5,1.5
S12000033,100.0,73.3,62.9,11.7,45.4,5.8,3.1,7.3,26.7,10.7,7.7,3.2,3.4,1.6,0.9,0.5,0.4,1.1
S12000034,100.0,74.9,69.5,15.2,44.1,10.2,2.5,2.9,25.1,13.6,3.1,4.2,2.7,1.4,0.8,0.5,0.3,0.9
S12000035,100.0,68.6,62.7,14.0,36.6,12.1,4.1,1.8,31.4,19.6,3.5,3.2,3.6,1.5,1.2,1.0,0.4,1.5
S12000036,100.0,69.0,59.6,11.4,40.3,7.9,3.9,5.5,31.0,11.6,10.3,3.5,3.7,1.9,1.0,0.7,0.5,1.4
S12000038,100.0,68.7,59.8,13.2,41.1,5.4,5.1,3.8,31.3,15.5,4.5,3.2,6.4,1.7,1.5,1.0,0.7,2.0
S12000039,100.0,67.6,58.0,13.8,39.5,4.8,6.4,3.2,32.4,14.8,4.0,4.1,7.7,1.8,2.0,1.2,0.9,2.7
S12000040,100.0,72.2,64.4,13.5,44.7,6.2,5.0,2.8,27.8,13.7,3.5,3.6,5.0,2.0,1.7,0.8,0.6,1.8
S12000041,100.0,69.3,62.2,14.3,39.5,8.5,4.2,2.9,30.7,18.1,3.7,3.4,3.8,1.7,1.4,0.8,0.6,1.6
