ons_id,name,outcome,state,remain_votes,remain_percentage_share,leave_votes,leave_percentage_share,majority,percentage_majority,electorate,turnout,percentage_turnout,declaration_time,rush_revisions,result_revisions,recount_revisions,recount_pending,num_recounts,manual_override,pa_id,region_id,region_name,count_error
E07000151,Daventry,LEAVE,3,20443,41.39851359834754,28938,58.60148640165246,8495,17.2,61013,49381,80.94,Fri Jun 24 2016 03:16:09 GMT+0000 (GMT),1,1,0,false,0,false,88,E12000004,East Midlands,0
E06000015,Derby,,0,,,,,,,,,,,0,0,1,false,1,false,90,E12000004,East Midlands,0
E07000035,Derbyshire Dales,LEAVE,3,22633,48.43562746105119,24095,51.56437253894881,1462,3.13,57063,46728,81.89,Fri Jun 24 2016 03:00:52 GMT+0000 (GMT),1,1,0,false,0,false,91,E12000004,East Midlands,0
E07000137,East Lindsey,,0,,,,,,,,,,,0,0,0,false,0,false,106,E12000004,East Midlands,0
E07000152,East Northamptonshire,LEAVE,3,21680,41.23711340206185,30894,58.76288659793815,9214,17.53,68329,52574,76.94,Fri Jun 24 2016 04:09:34 GMT+0000 (GMT),1,1,0,false,0,false,108,E12000004,East Midlands,0
E07000036,Erewash,LEAVE,3,25791,38.76597023898993,40739,61.23402976101006,14948,22.47,87592,66530,75.95,Fri Jun 24 2016 02:14:58 GMT+0000 (GMT),1,1,0,false,0,false,120,E12000004,East Midlands,0
E07000173,Gedling,LEAVE,3,30035,44.44559539488287,37542,55.55440460511713,7507,11.11,88288,67577,76.54,Fri Jun 24 2016 03:54:48 GMT+0000 (GMT),1,1,0,false,0,false,131,E12000004,East Midlands,0
E07000131,Harborough,,0,,,,,,,,,,,0,0,0,false,0,false,145,E12000004,East Midlands,0
E07000037,High Peak,LEAVE,3,27116,49.45197235241552,27717,50.54802764758448,601,1.1,72487,54833,75.65,Fri Jun 24 2016 03:07:28 GMT+0000 (GMT),1,1,0,false,0,false,157,E12000004,East Midlands,0
E07000132,Hinckley and Bosworth,LEAVE,3,25969,39.66549564686116,39501,60.33450435313884,13532,20.67,85295,65470,76.76,Fri Jun 24 2016 03:33:23 GMT+0000 (GMT),1,1,0,false,0,false,160,E12000004,East Midlands,0
E07000153,Kettering,LEAVE,3,21030,39.011631142523235,32877,60.98836885747676,11847,21.98,70566,53907,76.39,Fri Jun 24 2016 00:06:47 GMT+0000 (GMT),1,1,0,false,0,false,171,E12000004,East Midlands,0
E06000016,Leicester,REMAIN,3,70980,51.07503669803989,67992,48.924963301960105,2988,2.15,213807,138972,65,Fri Jun 24 2016 03:44:56 GMT+0000 (GMT),1,2,0,false,0,false,180,E12000004,East Midlands,0
E07000138,Lincoln,LEAVE,3,18902,43.06283318904634,24992,56.93716681095366,6090,13.87,63336,43894,69.3,Fri Jun 24 2016 01:53:38 GMT+0000 (GMT),1,1,0,false,0,false,184,E12000004,East Midlands,0
E07000174,Mansfield,LEAVE,3,16417,29.137086468834305,39927,70.86291353116569,23510,41.73,77586,56344,72.62,Fri Jun 24 2016 03:47:09 GMT+0000 (GMT),1,1,0,false,0,false,191,E12000004,East Midlands,0
E07000133,Melton,,0,,,,,,,,,,,0,0,0,false,0,false,193,E12000004,East Midlands,0
E07000175,Newark and Sherwood,LEAVE,3,26571,39.60677925678596,40516,60.39322074321404,13945,20.79,87322,67087,76.83,Fri Jun 24 2016 03:14:58 GMT+0000 (GMT),1,1,0,false,0,false,208,E12000004,East Midlands,0
E07000038,North East Derbyshire,,0,,,,,,,,,,,0,0,0,false,0,false,216,E12000004,East Midlands,0
E07000139,North Kesteven,LEAVE,3,25570,37.7400262718994,42183,62.259973728100604,16613,24.52,86464,67753,78.36,Fri Jun 24 2016 02:36:10 GMT+0000 (GMT),1,1,0,false,0,false,219,E12000004,East Midlands,0
E07000134,North West Leicestershire,LEAVE,3,22642,39.3015222787315,34969,60.6984777212685,12327,21.4,73943,57611,77.91,Fri Jun 24 2016 01:58:42 GMT+0000 (GMT),1,1,0,false,0,false,226,E12000004,East Midlands,0
E07000154,Northampton,,0,,,,,,,,,,,0,0,0,false,0,false,227,E12000004,East Midlands,0
E06000018,Nottingham,LEAVE,3,59318,49.1608721956556,61343,50.83912780434441,2025,1.68,195391,120661,61.75,Fri Jun 24 2016 02:37:15 GMT+0000 (GMT),1,1,0,false,0,false,231,E12000004,East Midlands,0
E07000135,Oadby and Wigston,LEAVE,3,14292,45.421897346257744,17173,54.578102653742256,2881,9.16,42680,31465,73.72,Fri Jun 24 2016 02:16:36 GMT+0000 (GMT),1,1,0,false,0,false,233,E12000004,East Midlands,0
E07000176,Rushcliffe,REMAIN,3,40522,57.55148416418122,29888,42.448515835818775,10634,15.1,86397,70410,81.5,Fri Jun 24 2016 03:11:27 GMT+0000 (GMT),1,1,0,false,0,false,264,E12000004,East Midlands,0
E06000017,Rutland,LEAVE,3,11353,49.43394583297048,11613,50.56605416702952,260,1.13,29382,22966,78.16,Fri Jun 24 2016 03:26:55 GMT+0000 (GMT),1,1,0,false,0,false,266,E12000004,East Midlands,0
E07000039,South Derbyshire,LEAVE,3,22479,39.648999029896814,34216,60.351000970103186,11737,20.7,73854,56695,76.77,Fri Jun 24 2016 03:36:14 GMT+0000 (GMT),1,1,0,false,0,false,285,E12000004,East Midlands,0
E07000140,South Holland,LEAVE,3,13074,26.41372204376023,36423,73.58627795623977,23349,47.17,65699,49497,75.34,Fri Jun 24 2016 03:14:22 GMT+0000 (GMT),1,1,0,false,0,false,288,E12000004,East Midlands,0
E07000141,South Kesteven,,0,,,,,,,,,,,0,0,0,false,0,false,289,E12000004,East Midlands,0
E07000155,South Northamptonshire,LEAVE,3,25853,45.657318451539986,30771,54.342681548460014,4918,8.69,71301,56624,79.42,Fri Jun 24 2016 03:50:17 GMT+0000 (GMT),1,1,0,false,0,false,293,E12000004,East Midlands,0
E07000156,Wellingborough,LEAVE,3,15462,37.582946452444034,25679,62.417053547555966,10217,24.83,54566,41141,75.4,Fri Jun 24 2016 01:01:25 GMT+0000 (GMT),1,1,0,false,0,false,354,E12000004,East Midlands,0
E07000142,West Lindsey,,0,,,,,,,,,,,0,0,0,false,0,false,361,E12000004,East Midlands,0
E07000200,Babergh,LEAVE,3,25309,45.81477861047753,29933,54.18522138952247,4624,8.37,70628,55242,78.22,Fri Jun 24 2016 04:07:39 GMT+0000 (GMT),1,2,0,false,0,false,13,E12000006,East of England,0
E07000066,Basildon,LEAVE,3,30748,31.375830365615975,67251,68.62416963438403,36503,37.25,132762,97999,73.82,Fri Jun 24 2016 00:52:08 GMT+0000 (GMT),1,1,0,false,0,false,18,E12000006,East of England,0
E06000055,Bedford,LEAVE,3,41497,48.21532312411405,44569,51.78467687588595,3072,3.57,119317,86066,72.13,Fri Jun 24 2016 02:56:21 GMT+0000 (GMT),1,1,0,false,0,false,22,E12000006,East of England,0
E07000067,Braintree,LEAVE,3,33523,38.87355628739738,52713,61.12644371260263,19190,22.25,112566,86236,76.61,Fri Jun 24 2016 02:54:50 GMT+0000 (GMT),1,1,0,false,0,false,35,E12000006,East of England,0
E07000143,Breckland,,0,,,,,,,,,,,0,0,0,false,0,false,36,E12000006,East of England,0
E07000068,Brentwood,LEAVE,3,19077,40.84660842754368,27627,59.153391572456314,8550,18.31,58777,46704,79.46,Fri Jun 24 2016 00:57:20 GMT+0000 (GMT),1,1,0,false,0,false,38,E12000006,East of England,0
E07000144,Broadland,,0,,,,,,,,,,,0,0,0,false,0,false,42,E12000006,East of England,0
E07000095,Broxbourne,LEAVE,3,17166,33.74351313099544,33706,66.25648686900456,16540,32.51,68990,50872,73.74,Thu Jun 23 2016 23:54:57 GMT+0000 (GMT),1,1,0,false,0,false,45,E12000006,East of England,0
E07000008,Cambridge,REMAIN,3,42682,73.84556826242668,15117,26.154431737573315,27565,47.69,80099,57799,72.16,Fri Jun 24 2016 03:01:21 GMT+0000 (GMT),1,1,0,false,0,false,51,E12000006,East of England,0
E07000069,Castle Point,LEAVE,3,14154,27.300607580287394,37691,72.69939241971261,23537,45.4,68860,51845,75.29,Fri Jun 24 2016 02:02:39 GMT+0000 (GMT),1,1,0,false,0,false,58,E12000006,East of England,0
E06000056,Central Bedfordshire,,0,,,,,,,,,,,0,0,0,false,0,false,59,E12000006,East of England,0
E07000070,Chelmsford,LEAVE,3,47545,47.17046649602159,53249,52.82953350397841,5704,5.66,129966,100794,77.55,Fri Jun 24 2016 02:42:42 GMT+0000 (GMT),1,1,0,false,0,false,62,E12000006,East of England,0
E07000071,Colchester,LEAVE,3,44414,46.40040117427052,51305,53.59959882572948,6891,7.2,127519,95719,75.06,Fri Jun 24 2016 02:21:03 GMT+0000 (GMT),1,1,0,false,0,false,74,E12000006,East of England,0
E07000096,Dacorum,,0,,,,,,,,,,,0,0,0,false,0,false,85,E12000006,East of England,0
E07000009,East Cambridgeshire,LEAVE,3,23599,49.076654327662936,24487,50.923345672337064,888,1.85,62419,48086,77.04,Fri Jun 24 2016 04:02:21 GMT+0000 (GMT),1,1,0,false,0,false,100,E12000006,East of England,0
E07000242,East Hertfordshire,LEAVE,3,42372,49.63568633882342,42994,50.36431366117659,622,0.73,106254,85366,80.34,Fri Jun 24 2016 03:27:49 GMT+0000 (GMT),1,1,0,false,0,false,105,E12000006,East of England,0
E07000072,Epping Forest,LEAVE,3,28676,37.31327746838078,48176,62.686722531619225,19500,25.37,100016,76852,76.84,Fri Jun 24 2016 02:32:14 GMT+0000 (GMT),1,1,0,false,0,false,118,E12000006,East of England,0
E07000010,Fenland,LEAVE,3,15055,28.60753239843423,37571,71.39246760156577,22516,42.78,71440,52626,73.66,Fri Jun 24 2016 03:02:38 GMT+0000 (GMT),1,1,0,false,0,false,124,E12000006,East of England,0
E07000201,Forest Heath,LEAVE,3,9791,35.02915816965404,18160,64.97084183034596,8369,29.94,38525,27951,72.55,Fri Jun 24 2016 02:09:00 GMT+0000 (GMT),1,1,0,false,0,false,127,E12000006,East of England,0
E07000145,Great Yarmouth,LEAVE,3,14284,28.495052665177145,35844,71.50494733482286,21560,43.01,72625,50128,69.02,Fri Jun 24 2016 02:24:41 GMT+0000 (GMT),1,1,0,false,0,false,137,E12000006,East of England,0
E07000073,Harlow,LEAVE,3,13867,31.900894890611703,29602,68.0991051093883,15735,36.2,59123,43469,73.52,Fri Jun 24 2016 01:07:44 GMT+0000 (GMT),1,1,0,false,0,false,147,E12000006,East of England,0
E07000098,Hertsmere,LEAVE,3,27593,49.16347438752784,28532,50.83652561247216,939,1.67,73284,56125,76.59,Fri Jun 24 2016 01:52:20 GMT+0000 (GMT),1,1,0,false,0,false,156,E12000006,East of England,0
E07000011,Huntingdonshire,LEAVE,3,45729,45.76240655678646,54198,54.23759344321355,8469,8.48,128479,99927,77.78,Fri Jun 24 2016 03:08:54 GMT+0000 (GMT),1,1,0,false,0,false,163,E12000006,East of England,0
E07000202,Ipswich,LEAVE,3,27698,41.743402709749375,38655,58.25659729025063,10957,16.51,91647,66353,72.4,Fri Jun 24 2016 02:42:30 GMT+0000 (GMT),1,1,0,false,0,false,166,E12000006,East of England,0
E07000146,King's Lynn and West Norfolk,LEAVE,3,28587,33.60014104372355,56493,66.39985895627645,27906,32.8,113870,85080,74.72,Fri Jun 24 2016 04:14:47 GMT+0000 (GMT),1,1,0,false,0,false,172,E12000006,East of England,0
E06000032,Luton,LEAVE,3,36708,43.45119020844923,47773,56.54880979155076,11065,13.1,127604,84481,66.21,Fri Jun 24 2016 03:32:52 GMT+0000 (GMT),1,1,0,false,0,false,186,E12000006,East of England,0
E07000074,Maldon,LEAVE,3,14529,37.41598207617625,24302,62.58401792382375,9773,25.17,49063,38831,79.15,Fri Jun 24 2016 04:01:16 GMT+0000 (GMT),1,1,0,false,0,false,188,E12000006,East of England,0
E07000203,Mid Suffolk,,0,,,,,,,,,,,0,0,0,false,0,false,198,E12000006,East of England,0
E07000099,North Hertfordshire,REMAIN,3,42234,54.37480688021423,35438,45.62519311978577,6796,8.75,99306,77672,78.21,Fri Jun 24 2016 02:29:32 GMT+0000 (GMT),1,1,0,false,0,false,218,E12000006,East of England,0
E07000147,North Norfolk,LEAVE,3,26214,41.09421539426242,37576,58.90578460573758,11362,17.81,83057,63790,76.8,Fri Jun 24 2016 03:11:03 GMT+0000 (GMT),1,1,0,false,0,false,222,E12000006,East of England,0
E07000148,Norwich,REMAIN,3,37326,56.24265437121417,29040,43.75734562878583,8286,12.49,96081,66366,69.07,Fri Jun 24 2016 02:39:31 GMT+0000 (GMT),1,1,0,false,0,false,230,E12000006,East of England,0
E06000031,Peterborough,LEAVE,3,34176,39.106554375686564,53216,60.893445624313436,19040,21.79,120884,87392,72.29,Fri Jun 24 2016 02:18:38 GMT+0000 (GMT),1,1,0,false,0,false,240,E12000006,East of England,0
E07000075,Rochford,LEAVE,3,17510,33.386085000095335,34937,66.61391499990467,17427,33.23,66587,52447,78.76,Fri Jun 24 2016 00:59:17 GMT+0000 (GMT),1,1,0,false,0,false,258,E12000006,East of England,0
E07000012,South Cambridgeshire,REMAIN,3,56128,60.23028469025314,37061,39.76971530974686,19067,20.46,114830,93189,81.15,Fri Jun 24 2016 03:08:05 GMT+0000 (GMT),1,1,0,false,0,false,284,E12000006,East of England,0
E07000149,South Norfolk,LEAVE,3,38817,48.30508474576271,41541,51.69491525423729,2724,3.39,102396,80358,78.48,Fri Jun 24 2016 02:39:49 GMT+0000 (GMT),1,1,0,false,0,false,292,E12000006,East of England,0
E06000033,Southend-on-Sea,LEAVE,3,39348,41.917545541706616,54522,58.082454458293384,15174,16.16,128844,93870,72.86,Fri Jun 24 2016 01:01:15 GMT+0000 (GMT),1,1,0,false,0,false,300,E12000006,East of England,0
E07000240,St Albans,REMAIN,3,54208,62.70808028226039,32237,37.2919197177396,21971,25.42,104858,86445,82.44,Fri Jun 24 2016 01:58:31 GMT+0000 (GMT),1,1,0,false,0,false,303,E12000006,East of England,0
E07000204,St Edmundsbury,LEAVE,3,26986,43.378877993891656,35224,56.62112200610834,8238,13.24,81148,62210,76.66,Fri Jun 24 2016 02:53:26 GMT+0000 (GMT),1,1,0,false,0,false,304,E12000006,East of England,0
E07000243,Stevenage,LEAVE,3,18659,40.75352189581741,27126,59.246478104182586,8467,18.49,62150,45785,73.67,Fri Jun 24 2016 01:25:27 GMT+0000 (GMT),1,1,0,false,0,false,308,E12000006,East of England,0
E07000205,Suffolk Coastal,LEAVE,3,37218,47.001919579713075,41966,52.99808042028693,4748,6,98191,79184,80.64,Fri Jun 24 2016 03:37:41 GMT+0000 (GMT),1,1,0,false,0,false,315,E12000006,East of England,0
E07000076,Tendring,LEAVE,3,25210,30.49953421972731,57447,69.50046578027269,32237,39,111159,82657,74.36,Fri Jun 24 2016 02:46:34 GMT+0000 (GMT),1,1,0,false,0,false,328,E12000006,East of England,0
E07000102,Three Rivers,LEAVE,3,25751,48.726536481986074,27097,51.273463518013926,1346,2.55,67382,52848,78.43,Fri Jun 24 2016 03:06:51 GMT+0000 (GMT),1,1,0,false,0,false,332,E12000006,East of England,0
E06000034,Thurrock,LEAVE,3,22151,27.717853746433757,57765,72.28214625356625,35614,44.56,109889,79916,72.72,Fri Jun 24 2016 02:21:46 GMT+0000 (GMT),1,1,0,false,0,false,333,E12000006,East of England,0
E07000077,Uttlesford,LEAVE,3,25619,49.3213715033787,26324,50.67862849662129,705,1.36,64733,51943,80.24,Fri Jun 24 2016 01:41:59 GMT+0000 (GMT),1,1,0,false,0,false,341,E12000006,East of England,0
E07000103,Watford,LEAVE,3,23167,49.72953247756837,23419,50.27046752243163,252,0.54,65048,46586,71.62,Fri Jun 24 2016 01:45:53 GMT+0000 (GMT),1,1,0,false,0,false,350,E12000006,East of England,0
E07000206,Waveney,LEAVE,3,24356,37.10203211162904,41290,62.897967888370964,16934,25.8,90385,65646,72.63,Fri Jun 24 2016 04:00:20 GMT+0000 (GMT),1,1,0,false,0,false,351,E12000006,East of England,0
E07000241,Welwyn Hatfield,LEAVE,3,27550,47.00563043849172,31060,52.99436956150827,3510,5.99,78124,58610,75.02,Fri Jun 24 2016 02:33:49 GMT+0000 (GMT),1,1,0,false,0,false,355,E12000006,East of England,0
E09000002,Barking and Dagenham,LEAVE,3,27750,37.560909583107744,46130,62.43909041689226,18380,24.88,115801,73880,63.8,Fri Jun 24 2016 01:34:54 GMT+0000 (GMT),1,1,0,false,0,false,14,E12000007,London,0
E09000003,Barnet,REMAIN,3,100210,62.229480913849955,60823,37.770519086150045,39387,24.46,223460,161033,72.06,Fri Jun 24 2016 03:52:59 GMT+0000 (GMT),1,1,0,false,0,false,15,E12000007,London,0
E09000004,Bexley,LEAVE,3,47603,37.04830763722964,80886,62.95169236277035,33283,25.9,170772,128489,75.24,Fri Jun 24 2016 02:54:22 GMT+0000 (GMT),1,1,0,false,0,false,23,E12000007,London,0
E09000005,Brent,REMAIN,3,72523,59.736911469144346,48881,40.263088530855654,23642,19.47,186750,121404,65.01,Fri Jun 24 2016 03:57:59 GMT+0000 (GMT),1,1,0,false,0,false,37,E12000007,London,0
E09000006,Bromley,REMAIN,3,92398,50.64791264690405,90034,49.352087353095946,2364,1.3,231478,182432,78.81,Fri Jun 24 2016 04:11:05 GMT+0000 (GMT),1,1,0,false,0,false,43,E12000007,London,0
E09000007,Camden,REMAIN,3,71295,74.94244899246318,23838,25.057551007536816,47457,49.88,145328,95133,65.46,Fri Jun 24 2016 03:33:38 GMT+0000 (GMT),1,1,0,false,0,false,52,E12000007,London,0
E09000001,City of London,REMAIN,3,3312,75.28983859968174,1087,24.710161400318253,2225,50.58,5986,4399,73.49,Fri Jun 24 2016 01:02:06 GMT+0000 (GMT),1,1,0,false,0,false,72,E12000007,London,0
E09000008,Croydon,REMAIN,3,92913,54.292542685848524,78221,45.70745731415148,14692,8.59,245332,171134,69.76,Fri Jun 24 2016 03:30:52 GMT+0000 (GMT),1,1,0,false,0,false,84,E12000007,London,0
E09000009,Ealing,REMAIN,3,90024,60.40217121463222,59017,39.59782878536778,31007,20.8,212991,149041,69.98,Fri Jun 24 2016 02:32:18 GMT+0000 (GMT),1,1,0,false,0,false,98,E12000007,London,0
E09000010,Enfield,REMAIN,3,76425,55.82297342702292,60481,44.17702657297708,15944,11.65,198359,136906,69.02,Fri Jun 24 2016 03:30:02 GMT+0000 (GMT),1,1,0,false,0,false,117,E12000007,London,0
E09000011,Greenwich,REMAIN,3,65248,55.59408682315852,52117,44.40591317684148,13131,11.19,168967,117365,69.46,Fri Jun 24 2016 03:51:23 GMT+0000 (GMT),1,1,0,false,0,false,138,E12000007,London,0
E09000012,Hackney,REMAIN,3,83398,78.48041706660645,22868,21.51958293339356,60530,56.96,163284,106266,65.08,Fri Jun 24 2016 02:46:55 GMT+0000 (GMT),1,1,0,false,0,false,141,E12000007,London,0
E09000013,Hammersmith and Fulham,REMAIN,3,56188,70.0231798808604,24054,29.976820119139603,32134,40.05,114843,80242,69.87,Fri Jun 24 2016 01:37:54 GMT+0000 (GMT),1,1,0,false,0,false,144,E12000007,London,0
E09000014,Haringey,REMAIN,3,79991,75.57300228634053,25855,24.426997713659468,54136,51.15,150097,105846,70.52,Fri Jun 24 2016 02:16:36 GMT+0000 (GMT),1,1,0,false,0,false,146,E12000007,London,0
E09000015,Harrow,REMAIN,3,64042,54.63169119215184,53183,45.36830880784816,10859,9.26,162387,117225,72.19,Fri Jun 24 2016 03:29:06 GMT+0000 (GMT),1,1,0,false,0,false,149,E12000007,London,0
E09000016,Havering,LEAVE,3,42201,30.341659117380615,96885,69.65834088261938,54684,39.32,183067,139086,75.98,Fri Jun 24 2016 04:05:32 GMT+0000 (GMT),1,1,0,false,0,false,154,E12000007,London,0
E09000017,Hillingdon,,0,,,,,,,,,,,0,0,0,false,0,false,159,E12000007,London,0
E09000018,Hounslow,REMAIN,3,58755,51.057561959053146,56321,48.942438040946854,2434,2.12,165031,115076,69.73,Fri Jun 24 2016 02:53:02 GMT+0000 (GMT),1,1,0,false,0,false,162,E12000007,London,0
E09000019,Islington,REMAIN,3,76420,75.21653543307086,25180,24.783464566929133,51240,50.43,144507,101600,70.31,Fri Jun 24 2016 01:57:05 GMT+0000 (GMT),1,1,0,false,0,false,169,E12000007,London,0
E09000020,Kensington and Chelsea,REMAIN,3,37601,68.69142658799028,17138,31.30857341200972,20463,37.38,83035,54739,65.92,Fri Jun 24 2016 02:49:47 GMT+0000 (GMT),1,1,0,false,0,false,170,E12000007,London,0
E09000021,Kingston-upon-Thames,REMAIN,3,52533,61.60783393925179,32737,38.39216606074821,19796,23.22,108835,85270,78.35,Fri Jun 24 2016 04:05:57 GMT+0000 (GMT),1,1,0,false,0,false,174,E12000007,London,0
E09000022,Lambeth,REMAIN,3,111584,78.62236126377498,30340,21.37763873622502,81244,57.24,210766,141924,67.34,Fri Jun 24 2016 01:21:16 GMT+0000 (GMT),1,1,0,false,0,false,177,E12000007,London,0
E09000023,Lewisham,,0,,,,,,,,,,,0,0,0,false,0,false,182,E12000007,London,0
E09000024,Merton,REMAIN,3,63003,62.940059940059946,37097,37.05994005994006,25906,25.88,136333,100100,73.42,Fri Jun 24 2016 02:09:18 GMT+0000 (GMT),1,1,0,false,0,false,196,E12000007,London,0
E09000025,Newham,REMAIN,3,55328,52.844821822557996,49371,47.155178177442004,5957,5.69,176956,104699,59.17,Fri Jun 24 2016 03:25:10 GMT+0000 (GMT),1,1,0,false,0,false,211,E12000007,London,0
E09000026,Redbridge,,0,,,,,,,,,,,0,0,0,false,0,false,248,E12000007,London,0
E09000027,Richmond-upon-Thames,REMAIN,3,75396,69.29397275885522,33410,30.70602724114479,41986,38.59,132626,108806,82.04,Fri Jun 24 2016 02:00:39 GMT+0000 (GMT),1,1,0,false,0,false,255,E12000007,London,0
E09000028,Southwark,,0,,,,,,,,,,,0,0,0,false,0,false,301,E12000007,London,0
E09000029,Sutton,LEAVE,3,49319,46.28284534534535,57241,53.71715465465465,7922,7.43,140280,106560,75.96,Fri Jun 24 2016 03:03:08 GMT+0000 (GMT),1,1,0,false,0,false,318,E12000007,London,0
E09000030,Tower Hamlets,REMAIN,3,73011,67.45599852173511,35224,32.54400147826489,37787,34.91,167789,108235,64.51,Fri Jun 24 2016 03:02:07 GMT+0000 (GMT),1,1,0,false,0,false,338,E12000007,London,0
E09000031,Waltham Forest,REMAIN,3,64156,59.10217317205737,44395,40.89782682794262,19761,18.2,162971,108551,66.61,Fri Jun 24 2016 02:39:18 GMT+0000 (GMT),1,1,0,false,0,false,346,E12000007,London,0
E09000032,Wandsworth,REMAIN,3,118463,75.03166882014644,39421,24.968331179853564,79042,50.06,219516,157884,71.92,Fri Jun 24 2016 01:27:41 GMT+0000 (GMT),1,1,0,false,0,false,347,E12000007,London,0
E09000033,Westminster,REMAIN,3,53928,68.96516445854007,24268,31.03483554145992,29660,37.93,120524,78196,64.88,Fri Jun 24 2016 02:11:33 GMT+0000 (GMT),1,1,0,false,0,false,365,E12000007,London,0
E06000005,Darlington,LEAVE,3,24172,43.816843708081066,30994,56.183156291918934,6822,12.37,77664,55166,71.03,Fri Jun 24 2016 02:12:20 GMT+0000 (GMT),1,1,0,false,0,false,86,E12000001,North East,0
E06000047,Durham,LEAVE,3,113521,42.453945055684784,153877,57.546054944315216,40356,15.09,389500,267398,68.65,Fri Jun 24 2016 02:39:19 GMT+0000 (GMT),1,1,0,false,0,false,97,E12000001,North East,0
E08000037,Gateshead,LEAVE,3,44429,43.15254764078556,58529,56.84745235921444,14100,13.69,145843,102958,70.6,Fri Jun 24 2016 02:19:05 GMT+0000 (GMT),1,1,0,false,0,false,130,E12000001,North East,0
E06000001,Hartlepool,LEAVE,3,14029,30.43167028199566,32071,69.56832971800434,18042,39.14,70337,46100,65.54,Fri Jun 24 2016 00:57:04 GMT+0000 (GMT),1,1,0,false,0,false,151,E12000001,North East,0
E06000002,Middlesbrough,LEAVE,3,21181,34.52035594380521,40177,65.4796440561948,18996,30.96,94610,61358,64.85,Fri Jun 24 2016 00:56:34 GMT+0000 (GMT),1,1,0,false,0,false,200,E12000001,North East,0
E08000021,Newcastle-upon-Tyne,REMAIN,3,65405,50.70037130919436,63598,49.29962869080564,1807,1.4,190735,129003,67.63,Thu Jun 23 2016 23:00:33 GMT+0000 (GMT),1,2,0,false,0,false,210,E12000001,North East,0
E08000022,North Tyneside,LEAVE,3,52873,46.59974264511466,60589,53.40025735488534,7716,6.8,156975,113462,72.28,Fri Jun 24 2016 01:36:41 GMT+0000 (GMT),1,1,0,false,0,false,224,E12000001,North East,0
E06000057,Northumberland,,0,,,,,,,,,,,0,0,0,false,0,false,229,E12000001,North East,0
E06000003,Redcar and Cleveland,LEAVE,3,24586,33.81192067552328,48128,66.18807932447672,23542,32.38,103503,72714,70.25,Fri Jun 24 2016 01:06:53 GMT+0000 (GMT),1,1,0,false,0,false,249,E12000001,North East,0
E08000023,South Tyneside,LEAVE,3,30014,37.95445061267846,49065,62.04554938732154,19051,24.09,115888,79079,68.24,Fri Jun 24 2016 00:18:33 GMT+0000 (GMT),1,1,0,false,0,false,298,E12000001,North East,0
E06000004,Stockton-on-Tees,LEAVE,3,38433,38.27416222675895,61982,61.725837773241054,23549,23.45,141486,100415,70.97,Fri Jun 24 2016 00:45:11 GMT+0000 (GMT),1,1,0,false,0,false,311,E12000001,North East,0
