ons_id,name,outcome,state,remain_votes,remain_percentage_share,leave_votes,leave_percentage_share,majority,percentage_majority,electorate,turnout,percentage_turnout,declaration_time,rush_revisions,result_revisions,recount_revisions,recount_pending,num_recounts,manual_override,pa_id,region_id,region_name,count_error
E07000032,Amber Valley,LEAVE,3,29319,39.71687889460851,44501,60.28312110539149,15182,20.57,96753,73820,76.3,Fri Jun 24 2016 03:46:34 GMT+0000 (GMT),1,1,0,false,0,false,5,E12000004,East Midlands,0
E07000170,Ashfield,LEAVE,3,20179,30.163380618544373,46720,69.83661938145562,26541,39.67,91909,66899,72.79,Fri Jun 24 2016 04:06:39 GMT+0000 (GMT),1,1,0,false,0,false,10,E12000004,East Midlands,0
E07000171,Bassetlaw,LEAVE,3,20575,32.16502258977285,43392,67.83497741022715,22817,35.67,85557,63967,74.77,Fri Jun 24 2016 03:18:31 GMT+0000 (GMT),1,1,0,false,0,false,20,E12000004,East Midlands,0
E07000129,Blaby,LEAVE,3,22888,40.53053779816189,33583,59.469462201838105,10695,18.94,73832,56471,76.49,Fri Jun 24 2016 04:07:31 GMT+0000 (GMT),1,1,0,false,0,false,25,E12000004,East Midlands,0
E07000033,Bolsover,LEAVE,3,12242,29.16706375679024,29730,70.83293624320976,17488,41.67,58058,41972,72.29,Fri Jun 24 2016 04:00:11 GMT+0000 (GMT),1,1,0,false,0,false,29,E12000004,East Midlands,0
E07000136,Boston,LEAVE,3,7430,24.437574003420604,22974,75.56242599657939,15544,51.12,39363,30404,77.24,Fri Jun 24 2016 02:12:44 GMT+0000 (GMT),1,1,0,false,0,false,31,E12000004,East Midlands,0
E07000172,Broxtowe,LEAVE,3,29672,45.352000733653284,35754,54.647999266346716,6082,9.3,83576,65426,78.28,Fri Jun 24 2016 02:59:39 GMT+0000 (GMT),1,1,0,false,0,false,46,E12000004,East Midlands,0
E07000130,Charnwood,LEAVE,3,43500,46.192074077220404,50672,53.807925922779596,7172,7.62,133780,94172,70.39,Fri Jun 24 2016 03:08:30 GMT+0000 (GMT),1,1,0,false,0,false,61,E12000004,East Midlands,0
E07000034,Chesterfield,LEAVE,3,22946,39.95890220117025,34478,60.04109779882975,11532,20.08,79905,57424,71.87,Fri Jun 24 2016 03:11:27 GMT+0000 (GMT),1,1,0,false,0,false,67,E12000004,East Midlands,0
E07000150,Corby,LEAVE,3,11470,35.753249586982946,20611,64.24675041301705,9141,28.49,43310,32081,74.07,Fri Jun 24 2016 01:42:55 GMT+0000 (GMT),1,1,0,false,0,false,78,E12000004,East Midlands,0
