
"Population estimates - local authority based by single year of age"
"ONS Crown Copyright Reserved [from Nomis on 27 April 2016]"
"Date       :","2014"
"Gender     :","Total"

"Area","mnemonic","All Ages","Aged 18 to 24","Aged 25 to 49","Aged 50 to 64","Aged 65+"

"ualad14:Darlington","E06000005",105367,8035,34039,20425,20168
"ualad14:County Durham","E06000047",517773,51351,159766,104885,101471
"ualad14:Hartlepool","E06000001",92590,8114,28987,18392,17134
"ualad14:Middlesbrough","E06000002",139119,16202,43859,25299,21958
"ualad14:Northumberland","E06000057",315987,22444,91878,70727,71144
"ualad14:Redcar and Cleveland","E06000003",135042,11133,40345,27430,28810
"ualad14:Stockton-on-Tees","E06000004",194119,17349,63584,37528,33193
"ualad14:Gateshead","E08000037",200505,16544,67561,38428,37835
"ualad14:Newcastle upon Tyne","E08000021",289835,51796,94213,46108,41455
"ualad14:North Tyneside","E08000022",202744,14681,67939,40998,38662
"ualad14:South Tyneside","E08000023",148740,12726,46829,31058,28812
"ualad14:Sunderland","E08000024",276889,27191,88259,56118,50850
"ualad14:Blackburn with Darwen","E06000008",146743,12891,50116,24949,20550
"ualad14:Blackpool","E06000009",140501,11748,43906,27555,28482
"ualad14:Cheshire East","E06000049",374179,26494,115429,76625,80564
"ualad14:Cheshire West and Chester","E06000050",332210,27937,103751,66801,67564
"ualad14:Halton","E06000006",126354,10508,41257,25347,21013
"ualad14:Warrington","E06000007",206428,16164,70391,39360,36066
"ualad14:Allerdale","E07000026",96471,6960,28463,20733,22068
"ualad14:Barrow-in-Furness","E07000027",67648,5392,21080,13623,14021
"ualad14:Carlisle","E07000028",108022,9480,33656,22107,21743
"ualad14:Copeland","E07000029",69832,5258,21381,15205,14697
"ualad14:Eden","E07000030",52630,3703,14726,11908,12879
"ualad14:South Lakeland","E07000031",103271,6353,28218,23180,27747
"ualad14:Bolton","E08000001",280439,24433,93428,49881,46793
"ualad14:Bury","E08000002",187474,14804,62262,35002,32849
"ualad14:Manchester","E08000003",520215,85659,205232,65249,49354
"ualad14:Oldham","E08000004",228765,19665,75932,39490,36007
"ualad14:Rochdale","E08000005",212962,18739,70932,38964,33741
"ualad14:Salford","E08000006",242040,24957,89409,39260,35337
"ualad14:Stockport","E08000007",286755,20783,93271,55570,55624
"ualad14:Tameside","E08000008",220771,18257,74121,41843,37790
"ualad14:Trafford","E08000009",232458,16388,80383,42771,39229
"ualad14:Wigan","E08000010",320975,25992,108276,60901,58039
"ualad14:Burnley","E07000117",87291,7491,28364,16293,15552
"ualad14:Chorley","E07000118",111607,8162,37498,22006,20904
"ualad14:Fylde","E07000119",77042,4684,21830,16563,20081
"ualad14:Hyndburn","E07000120",80208,6786,26328,14480,14135
"ualad14:Lancaster","E07000121",141277,20894,40752,25493,27378
"ualad14:Pendle","E07000122",89840,6946,29570,16675,15847
"ualad14:Preston","E07000123",140452,19131,46961,23363,20321
"ualad14:Ribble Valley","E07000124",58091,3859,16800,12470,13047
"ualad14:Rossendale","E07000125",69168,5272,22863,13855,11980
"ualad14:South Ribble","E07000126",109077,8192,35174,21632,21740
"ualad14:West Lancashire","E07000127",111940,12027,31922,22403,23246
"ualad14:Wyre","E07000128",108742,7935,29785,22592,28698
"ualad14:Knowsley","E08000011",146407,13626,46307,29862,24365
"ualad14:Liverpool","E08000012",473073,67297,165091,81478,69305
"ualad14:Sefton","E08000014",273531,21216,80048,57634,61153
"ualad14:St. Helens","E08000013",177188,14397,56920,34612,34845
"ualad14:Wirral","E08000015",320914,24286,98169,64862,65998
"ualad14:East Riding of Yorkshire","E06000011",337115,23996,96531,72836,80611
"ualad14:Kingston upon Hull, City of","E06000010",257710,30366,89371,44506,38055
"ualad14:North East Lincolnshire","E06000012",159804,13488,50548,30729,30730
"ualad14:North Lincolnshire","E06000013",169247,12988,53165,34506,33368
"ualad14:York","E06000014",204439,30141,66362,34854,36459
"ualad14:Craven","E07000163",55696,3467,15250,12543,14042
"ualad14:Hambleton","E07000164",89828,5871,25732,19627,21597
"ualad14:Harrogate","E07000165",157267,9416,47753,32603,34503
"ualad14:Richmondshire","E07000166",52729,5199,17116,10019,10227
"ualad14:Ryedale","E07000167",52655,3497,14079,12006,13342
"ualad14:Scarborough","E07000168",108006,8386,29032,23672,27466
"ualad14:Selby","E07000169",85355,6005,27373,18155,16179
"ualad14:Barnsley","E08000016",237843,19490,77955,46806,44016
"ualad14:Doncaster","E08000017",304185,25207,99245,59162,55413
"ualad14:Rotherham","E08000018",260070,21214,82916,50611,48931
"ualad14:Sheffield","E08000019",563749,81461,185772,90170,91186
"ualad14:Bradford","E08000032",528155,47244,179237,87769,74958
"ualad14:Calderdale","E08000033",207376,15900,68571,40852,36359
"ualad14:Kirklees","E08000034",431020,40365,143455,77280,71572
"ualad14:Leeds","E08000035",766399,101052,263162,124122,117593
"ualad14:Wakefield","E08000036",331379,26525,109817,64963,60938
"ualad14:Derby","E06000015",252463,26420,86175,41222,40296
"ualad14:Leicester","E06000016",337653,47802,117994,51642,39465
"ualad14:Nottingham","E06000018",314268,63079,105210,44008,36993
"ualad14:Rutland","E06000017",38022,2891,11076,7540,8830
"ualad14:Amber Valley","E07000032",123942,9284,39164,25597,25855
"ualad14:Bolsover","E07000033",77155,6260,25175,15143,14935
"ualad14:Chesterfield","E07000034",104288,8448,33781,20887,20861
"ualad14:Derbyshire Dales","E07000035",71281,4629,19423,16471,17773
"ualad14:Erewash","E07000036",114048,9204,37599,22072,22157
"ualad14:High Peak","E07000037",91364,7449,28299,19671,17702
"ualad14:North East Derbyshire","E07000038",99352,7385,29364,21129,23206
"ualad14:South Derbyshire","E07000039",98374,7341,33431,19141,16946
"ualad14:Blaby","E07000129",95851,7296,30915,18657,18873
"ualad14:Charnwood","E07000130",173545,24506,54167,31263,30516
