Code,Name,Estimated Population mid-2013,Births,Deaths,Births minus Deaths,Internal Migration Inflow,Internal Migration Outflow,Internal Migration Net,International Migration Inflow,International Migration Outflow,International Migration Net,Other,Estimated Population mid-2014
K02000001,UNITED KINGDOM,64105654,777422,551202,226220,:,:,17,582621,322926,259695,5166,64596752
K03000001,GREAT BRITAIN,62275929,753237,536865,216372,:,:,683,569321,311863,257458,5812,62756254
K04000001,ENGLAND AND WALES,56948229,697136,484281,212855,46639,55541,-8902,536121,286663,249458,7014,57408654
E92000001,ENGLAND,53865817,663540,453987,209553,100164,109231,-9067,520941,277380,243561,6754,54316618
E12000001,NORTH EAST,2610481,28881,25630,3251,44037,43777,260,14430,10111,4319,399,2618710
E06000047,County Durham,515957,5397,5254,143,16926,16232,694,2198,1277,921,58,517773
E06000005,Darlington,105396,1225,1054,171,3780,3758,22,275,523,-248,26,105367
E06000001,Hartlepool,92665,1069,883,186,2162,2457,-295,195,166,29,5,92590
E06000002,Middlesbrough,138939,2003,1323,680,5821,6919,-1098,1197,623,574,24,139119
E06000057,Northumberland,315806,2796,3306,-510,9880,8911,969,568,854,-286,8,315987
E06000003,Redcar and Cleveland,134945,1478,1316,162,3951,4067,-116,176,152,24,27,135042
E06000004,Stockton-on-Tees,193196,2295,1646,649,6390,6507,-117,942,704,238,153,194119
E11000007,Tyne and Wear (Met County),1113577,12618,10848,1770,30341,30140,201,8879,5812,3067,98,1118713
E08000037,Gateshead,199998,2289,2035,254,7424,7074,350,741,853,-112,15,200505
E08000021,Newcastle upon Tyne,286821,3383,2340,1043,20003,20139,-136,5612,3511,2101,6,289835
E08000022,North Tyneside,202152,2341,1999,342,7605,7262,343,450,572,-122,29,202744
E08000023,South Tyneside,148526,1630,1610,20,3651,3531,120,281,224,57,17,148740
E08000024,Sunderland,276080,2975,2864,111,6772,7248,-476,1795,652,1143,31,276889
E12000002,NORTH WEST,7103261,86113,66316,19797,113907,118325,-4418,46003,32370,13633,718,7132991
E06000008,Blackburn with Darwen,147369,2190,1172,1018,4520,6055,-1535,659,784,-125,16,146743
E06000009,Blackpool,141400,1728,1746,-18,8109,8889,-780,530,634,-104,3,140501
E06000049,Cheshire East,372707,3849,3517,332,14817,13458,1359,1415,1611,-196,-23,374179
E06000050,Cheshire West and Chester,331026,3567,3118,449,13942,13555,387,1475,1279,196,152,332210
E06000006,Halton,125970,1552,1137,415,3758,3763,-5,218,244,-26,0,126354
E06000007,Warrington,205109,2391,1765,626,7195,6699,496,1012,882,130,67,206428
E10000006,Cumbria,498070,4809,5230,-421,12212,12028,184,1378,1444,-66,107,497874
E07000026,Allerdale,96208,900,1003,-103,3052,2720,332,185,165,20,14,96471
E07000027,Barrow-in-Furness,67831,738,751,-13,1599,1804,-205,111,115,-4,39,67648
E07000028,Carlisle,107949,1258,1038,220,3808,3909,-101,333,409,-76,30,108022
E07000029,Copeland,70019,700,738,-38,1789,1942,-153,92,97,-5,9,69832
E07000030,Eden,52607,426,491,-65,2347,2274,73,164,155,9,6,52630
E07000031,South Lakeland,103456,787,1209,-422,4620,4382,238,493,503,-10,9,103271
E11000001,Greater Manchester (Met County),2714944,36733,23006,13727,65098,69844,-4746,24061,15407,8654,275,2732854
E08000001,Bolton,280057,3777,2385,1392,8332,9804,-1472,1703,1267,436,26,280439
E08000002,Bury,186527,2381,1655,726,7318,7395,-77,818,519,299,-1,187474
E08000003,Manchester,514417,7941,3455,4486,36749,39825,-3076,12998,8623,4375,13,520215
E08000004,Oldham,227312,3306,2058,1248,6896,7529,-633,1174,369,805,33,228765
