code,electorate
E07000008,106647
E07000009,67594
E07000010,78272
E07000011,136657
E07000012,119158
E07000066,139454
E07000067,117368
E07000068,60028
E07000069,72064
E07000070,135853
E07000071,142830
E07000072,102072
E07000073,64475
E07000074,50730
E07000075,67906
E07000076,113863
E07000077,65050
E07000095,74131
E07000096,116257
E07000242,111061
E07000098,78800
E07000099,102298
E07000240,109537
E07000243,66473
E07000102,69829
E07000103,72646
E07000241,91988
E07000143,107583
E07000144,102468
E07000145,78545
E07000146,121242
E07000147,86327
E07000148,111716
E07000149,102748
E07000200,71044
E07000201,49068
E07000202,104953
E07000203,79169
E07000204,89218
E07000205,100387
E07000206,93341
E09000007,190702
E09000001,7117
E09000012,203167
E09000013,144588
E09000014,207772
E09000019,181934
E09000020,128421
E09000022,256055
E09000023,225154
E09000025,241785
E09000028,240836
E09000030,221189
E09000032,252442
E09000033,192598
E09000002,139188
E09000003,286932
E09000004,184320
E09000005,246746
E09000006,249805
E09000008,283690
E09000009,261862
E09000010,242575
E09000011,204002
E09000015,189369
E09000016,192716
E09000017,223483
E09000018,204072
E09000021,133198
E09000024,157875
E09000026,218702
E09000027,149880
E09000029,152818
E09000031,203724
E06000036,90202
E06000043,230125
E06000046,113563
E06000035,211479
E06000042,194016
E06000044,165725
E06000038,124975
E06000039,104708
E06000045,196707
E06000037,120101
E06000040,114003
E06000041,122233
E07000004,142153
E07000005,72217
E07000006,53786
E07000007,134857
E07000061,81814
E07000062,71783
E07000063,80503
E07000064,76015
E07000065,124259
E07000084,133931
E07000085,92868
E07000086,101132
E07000087,92084
E07000088,66237
E07000089,72314
E07000090,97435
E07000091,146083
E07000092,74087
E07000093,94327
E07000094,94179
E07000105,94638
E07000106,128550
E07000107,78550
E07000108,90151
E07000109,80849
E07000110,126818
E07000111,91820
E07000112,88011
E07000113,109033
E07000114,108666
E07000115,95533
E07000116,89485
E07000177,112258
E07000178,128011
E07000179,107489
E07000180,98056
E07000181,85549
E07000207,99951
E07000208,60674
E07000209,113967
E07000210,68207
E07000211,111098
E07000212,68299
E07000213,77737
E07000214,68336
E07000215,67011
E07000216,94978
E07000217,76412
E07000223,50495
E07000224,126846
E07000225,94156
E07000226,83931
E07000227,105936
E07000228,112657
E07000229,85543
E06000022,147604
E06000028,157194
E06000023,350615
E06000052,440463
E06000053,1896
E06000024,165679
E06000026,209837
E06000029,120399
E06000025,214497
E06000030,167195
E06000027,107913
E06000054,379183
E07000040,112055
E07000041,102562
E07000042,62603
E07000043,75723
E07000044,68762
E07000045,103738
E07000046,53396
E07000047,44312
E07000048,40164
E07000049,72781
E07000050,55912
E07000051,37262
E07000052,82235
E07000053,52681
E07000078,93571
E07000079,68774
E07000080,67572
E07000081,97453
E07000082,91704
E07000083,68452
E07000187,87666
E07000188,94668
E07000189,131704
E07000190,89756
E07000191,28916
W06000001,56533
W06000002,98583
W06000003,94564
W06000004,75337
W06000005,121644
W06000006,107275
W06000023,107516
W06000008,62875
W06000009,99000
W06000010,147829
W06000011,194267
W06000012,112590
W06000013,112178
W06000014,100662
W06000015,281207
W06000016,186911
W06000024,46587
W06000018,141099
W06000019,55722
W06000020,72248
W06000021,74234
W06000022,113566
S12000033,191400
S12000034,205752
S12000041,94149
S12000035,72035
S12000005,40886
S12000006,122605
S12000042,121111
S12000008,98060
S12000045,85683
S12000010,80771
S12000011,71647
S12000036,408105
S12000013,22215
S12000014,125711
S12000015,294711
S12000046,490404
S12000017,187616
S12000018,64878
S12000019,67793
S12000020,75703
S12000021,109705
S12000044,265920
S12000023,17579
S12000024,120721
S12000038,140148
S12000026,92373
S12000027,18354
S12000028,92066
S12000029,253155
S12000030,73545
S12000039,71967
S12000040,137649
N09000001,106946
N09000011,124302
N09000002,154556
N09000003,262104
N09000004,109931
N09000005,111877
N09000006,86837
N09000007,107389
N09000008,106807
N09000009,105897
N09000010,130691
E12000001,2093713
E12000002,5618117
E12000003,4219056
E12000004,3671679
E12000005,4456290
E12000006,4730846
E12000007,6618717
E12000008,6969602
E12000009,4346897
W92000004,2462427
S92000003,4314417
N92000002,1407337
G99999999,20000
